Text,positive,negative,Lab,Label,Sentiment,Pred
"pre syna, ktorý čochvíľa príde na svet 😘👶",0.5313,0.4687,3.0,Neutral,1.15,Negative
ale ja mám lepší no ale nezober zadarmo😅,0.4866,0.5134,2.0,Neutral,0.18,Negative
"Vy ste chorí,  choré mysle... 🤐",0.4795,0.5205,2.0,Neutral,0.0,Negative
"Vitaj v klube, Samuel Fabiny :😎",0.4148,0.5852,2.0,Negative,0.493,Positive
"To sice jó, ale nebude se to dát používat 🙂",0.6323,0.3677,3.0,Positive,0.0,Negative
Ivan Živčák do toku 2018 ešte pohodka 😀,0.5557,0.4443,3.0,Positive,0.572,Negative
"Jablkovu , jahodovu a broskynovu 🙂",0.3827,0.6173,2.0,Negative,0.0,Neutral
"Urcite navstivime zoo, poturistikujeme a snad tento rok aj chorvatsko vyjde..😉",0.2915,0.7085,2.0,Negative,0.464,Positive
Rád si pozriem tú komédiu 😀,0.39,0.61,2.0,Negative,0.572,Positive
"Morcadelu zbožňuje môj syn, s ničím iným špagety nezje, iba s nou😄",0.382,0.618,2.0,Negative,0.422,Positive
Dnes ten čas ide nejako rýchlejšie 😉,0.465,0.535,2.0,Neutral,0.464,Negative
"A ked pojdu, tiez budu mat pri ceste tabulky ""😉 Robime to pre Vás""?",0.2032,0.7968,2.0,Negative,0.464,Positive
Lepšiu bezplatnú reklamu by ani Flašik nevymyslel 😃😃,0.4683,0.5317,2.0,Neutral,1.116,Positive
"Špajza, smer, predchádzajúca vláda.. ešte nejaká novinka ? 🤦🏽‍♀️",0.4815,0.5185,2.0,Neutral,0.0,Negative
Mam note 7 po zvolavacke a urcite ho neplanujem vratit. 😉,0.40299999999999997,0.597,2.0,Negative,0.464,Positive
Na silvestra budeme doma kedze mame 3 mesacne miminko 😁🤘,0.2196,0.7804,2.0,Negative,0.45,Positive
Kurnik a kto by to zivil pri dnesnych cenach benzinu??? Radsej golf 2.0 Tdi 😉,0.5428,0.4572,3.0,Neutral,0.464,Negative
"Lenka vyhodili? 😀 ja som odisla, mala som dost 🙈 ale hlasovala dalej 😀",0.2625,0.7375,2.0,Negative,1.577,Positive
Moja Lujzicka lubi jahodkovu❤🍓,0.3827,0.6173,2.0,Negative,0.691,Positive
"Dala by som synovi,studuje v Zline,nemusel by chodit MHD🙋",0.5,0.5,1.0,Neutral,0.492,Negative
Potešilo by na daždivé dni lego Friends. 🍀❤️🍀⭐️,0.3169,0.6831,2.0,Negative,1.1669999999999998,Positive
pre mojho prveho synovca 😉,0.4465,0.5535,2.0,Negative,0.464,Neutral
Zdobenie stromčeka spoločne 🙂,0.4075,0.5925,2.0,Negative,0.0,Positive
"Stefan Kadlinsky každý sa môže zmýliť,nie každý to prizná...tak máte za mňa 👍",0.6777,0.3223,3.0,Positive,0.522,Negative
venoval by som ju manželke a tá by na nej chodila do práce 😀,0.6972,0.3028,3.0,Positive,0.572,Negative
Obycajna lupež a 7 rokov nasej Policii trvalo nez vypatraju lupicov ???👀⁉,0.4584,0.5416,2.0,Neutral,0.063,Negative
Z toho knaza co chvilu pocuvam ide pokoj a laska 🙂,0.6436,0.3564,3.0,Positive,0.0,Negative
"PILOS,CIEN,ESMARA,CRIVIT,PIKOK,LUPILU 😉🍀👌",0.5659,0.4341,3.0,Positive,1.3159999999999998,Neutral
Trápne celé aj ona aj on.... 🙄🙄🙄,0.4284,0.5716,2.0,Negative,0.0,Neutral
most si nechava otvorené zadné dvierka 😃,0.4257,0.5743,2.0,Negative,0.558,Positive
��‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ Ako vždy odkedy tá miestnosť existuje 😉😉,0.4373,0.5627,2.0,Negative,0.928,Neutral
Sudruh je vo svojom zivli!😀,0.5138,0.4862,3.0,Neutral,0.572,Positive
Chýba nám! !!! Barry. Pome Slovan bojovať 👊,0.4588,0.5412,2.0,Neutral,0.229,Negative
Balicek C :) velkost S-M pre toho mojho 😁😁😁,0.7868,0.2132,3.0,Positive,1.35,Negative
A Korda ožran tam samozrejme nechíba😂😂😂,0.4583,0.5417,2.0,Neutral,0.663,Negative
"Keď budeme mať autosedačku, tak hocikam 😜",0.4311,0.5689,2.0,Negative,0.456,Neutral
Oranzovu a pre moju kamaratku ktorej sa narodí dcéra v máji 🤗,0.4524,0.5476,2.0,Neutral,0.0,Positive
Pod strednou miskou a pyrenejsky tyzden 😉,0.4212,0.5788,2.0,Negative,0.464,Positive
Strašne milujem piknik tak by som to privítala aj každý deň 😘😘😘,0.29600000000000004,0.7040000000000001,2.0,Negative,2.106,Positive
Silvestra trávime doma s manželom a detičkami 👨‍👩‍👧‍👦,0.5291,0.4709,3.0,Neutral,0.943,Positive
"Pro miminko kamaradky,  ktere ceka 🙂",0.5285,0.4715,3.0,Neutral,0.0,Positive
"Idem do piče, tu sa hreší... 🤣🤣🤣",0.4569,0.5431,2.0,Neutral,0.0,Negative
Naj.je jablkova s broskynami ci marhulami mnam😉,0.8328,0.1672,3.0,Positive,0.464,Neutral
"Sampon, kondicioner, fen 😉",0.4497,0.5503,2.0,Negative,0.464,Neutral
Lego city namorna stanica 😆,0.5403,0.4597,3.0,Neutral,0.412,Positive
Pavol Boroš 3 friends? Psik prcka psika.... day no more 🤦🏻‍♂️🤣,0.5391,0.4609,3.0,Neutral,0.0,Negative
Tradičnú kuchyňu s modernými prvkami ☕🍀,0.4537,0.5463,2.0,Neutral,0.534,Negative
"No nič, jogurty budeš musieť nakupovať v Terne (10 m od Lidl-u)😉",0.4886,0.5114,2.0,Neutral,0.464,Negative
Z celeho srdca gratulujeme 😘,0.4281,0.5719,2.0,Negative,0.702,Positive
Do mesta s dcérou a manželom a potom na vidiek 😉,0.5305,0.4695,3.0,Neutral,0.464,Negative
"Pre mňa pečivo.... Vždy čerstvé, chrumkavé 😊",0.4864,0.5136,2.0,Neutral,0.645,Positive
Gratulujem a veľa veľa šťastných kilometrov🤗,0.3958,0.6042,2.0,Negative,0.0,Positive
"Daniela Ustupska veď vy seďte doma a traste sa,aby ste náhodou neochoreli🤣",0.4619,0.5381,2.0,Neutral,0.0,Negative
"...Su to:3 oriesky pre Popolusku,Mrazik a Sam doma 1-2-3 🎄",0.5442,0.4558,3.0,Neutral,0.538,Positive
A teraz tesit sa ze sa bude stavat alebo plakat za akych podmienok?? 🤦🏻‍♂️🤔,0.774,0.226,3.0,Positive,0.0,Negative
Lego friends zábavný park😉,0.5,0.5,1.0,Neutral,0.464,Negative
Sám Richter je jedno veľké prekvapenie😰,0.6297,0.3703,3.0,Positive,-0.02,Negative
"Kašparovi vyšiel tiket, gratulujeme!!! 💶💶💶",0.5255,0.4745,3.0,Neutral,0.0,Negative
Vsetky studie a fakty ukazuju opak takzeee...nie 😀,0.7706,0.2294,3.0,Positive,0.572,Negative
Ty už máš zas novej? 🤦🏻‍♀️,0.5351,0.4649,3.0,Neutral,0.0,Negative
"Teraz si bude uz len spokojne odfukovat, pardon fukat 🤧",0.4970000000000001,0.503,2.0,Neutral,0.0,Negative
"Lego city pobrežná stráž,pre nášho syna😘",0.4578,0.5422,2.0,Neutral,0.702,Positive
Ivetka Makukova\nJe mi ťa ľúto nadávať ti nebudem ja mám kvety rád 😂😂 Dáma 😂,0.6254,0.3746,3.0,Positive,0.663,Negative
��Pre moju milovanú Lilien Lego friends aquapark 🎄,0.4887,0.5113,3.0,Neutral,0.538,Positive
"K dcérke Patke, ktorej by som ju darovala 😉",0.4774,0.5226,2.0,Neutral,0.464,Positive
Najlepšia s7 aká doteraz bola 👆,0.4986,0.5014,2.0,Neutral,0.333,Positive
Andrej Ludik nie to je fakt 😀,0.5192,0.4808,3.0,Neutral,0.572,Positive
Dala by som si tour de Bratislava 😊😂,0.3985,0.6015,2.0,Negative,0.866,Positive
Dusan Dlugos mam ti ja poslal fotky z Juznej Ameriky bubacik? 😂😂,0.4561,0.5439,2.0,Neutral,0.442,Negative
Darčekovú poukážku do Tesca😏🎄,0.5373,0.4627,3.0,Neutral,0.8700000000000001,Negative
Denisa Strečanská Corbi nie len pre pravicového voliča 🙂,0.5,0.5,1.0,Neutral,0.0,Negative
"O tom, že za sebou máme ďalší úspešný finančný rok svedčí aj fakt, že náš obchodný dom počas neho navštívilo takmer 3 milióny ľudí. Teší nás, že naši zákazníci majú radi výrobky IKEA a praktické riešenia, ktoré prinášame. Koľkokrát za rok navštívite IKEA vy? 😊",0.8722,0.1278,3.0,Positive,0.645,Negative
Martina Savarova treba veriť 😘,0.5605,0.4395,3.0,Positive,0.702,Neutral
Juraj Ďurkovský 0:3! Je to tam!!!!🤣🤣🤣🤣,0.5268,0.4732,3.0,Neutral,0.0,Negative
"W5, Cien, Saguaro, Esmara, Pilos 😁",0.439,0.561,2.0,Negative,0.45,Neutral
Neviem si predstaviť vianoce bez mojej celej rodinky 👨‍👩‍👧‍👧❤💘,0.5205,0.4795,3.0,Neutral,1.634,Positive
Stredná miska a Pyrenejsky týždeň 😘,0.4887,0.5113,2.0,Neutral,0.702,Positive
Do prace a za dcerkou na trenig☺😉,0.7091,0.2909,3.0,Positive,0.464,Negative
Mario Švrček mam pre teba jeden typ 😄😄😄,0.4981,0.5019,2.0,Neutral,1.266,Positive
Ze harakter😂😂😂 odpadla som😂😂😂👍,0.5,0.5,1.0,Neutral,1.848,Negative
"no vidíte, ako dobre, že viete, čo budete pozerať 😃",0.4749,0.5251,2.0,Neutral,0.558,Positive
No to sami podarilo som čmaral v rychlosti 🙈🤣..,0.5083,0.4917,3.0,Neutral,0.433,Negative
"Lego friends Nemocnica pre našu Dorotku, určite by sa potešila 😁",0.5083,0.4917,3.0,Neutral,0.45,Positive
Nabuduce urob a prines mi Dakujem 😃😂,0.5827,0.4173,3.0,Positive,0.779,Negative
"Pavol Smolinsky ale no ukludnime sa, nech vas pri tom FB neklepne 😉",0.5202,0.4798,3.0,Neutral,0.464,Negative
Danyelka Androvičová  toto aj ja potrebujem vediet 😉,0.35200000000000004,0.648,2.0,Negative,0.464,Neutral
Hovädzí vývar a  hovädzie mäsko s knedľou a paradajkovou omáčkou 😋,0.2958,0.7042,2.0,Negative,0.634,Positive
"Tak ta včerajšia predpoveď nakoniec nevyšla 😀, možno o rok",0.531,0.469,3.0,Neutral,0.572,Positive
Pre Materská Škola Kutliarik 😉,0.3302,0.6698,2.0,Negative,0.464,Neutral
"Radoslav Kuzel , 🤔 tipujem : nie ste malí a ani tuční 👍‼️",0.5495,0.4505,3.0,Neutral,0.522,Negative
"Bohužel ,,jen,, Galaxy S7 edge 😁",0.611,0.389,3.0,Positive,0.45,Neutral
Opatrovateľky a zamestnanci domovov sociálnych sluzieb🌹🌹🌹,0.6091,0.3909,3.0,Positive,1.83,Negative
Ellka Ella alebo Eva Bencova zo Sumračnej ty si asi smeracky hovorca😄,0.5134,0.4866,3.0,Neutral,0.422,Negative
"Ano, aj ja si myslim, ze je to mexicka, aj ked to vyzera tak, ze odpisujem 😄😄😄",0.444,0.556,2.0,Negative,1.266,Positive
Dcérku Nelku by za 1potesilo lego friends 😉,0.6514,0.3486,3.0,Positive,0.464,Neutral
"Kuracie sote,stroganov k tomu ryza hranolky🍴",0.4956,0.5044,2.0,Neutral,0.554,Negative
"Na každú šviňu voda vre, i na tie moslimské 😀",0.444,0.556,2.0,Negative,0.572,Positive
Teď sem si koupil S7 jako fakt 😡😡😡,0.5685,0.4315,3.0,Positive,-0.5189999999999999,Negative
"Ja by som chcela dievčatko, manžel zase chlapca, tak uvidime co zamiesime 😁",0.5049,0.4951,3.0,Neutral,0.45,Positive
"b.) obchodník roka, Quidal ❤👌",0.4796,0.5204,2.0,Neutral,0.564,Positive
Zdielam pre dievcatko by sim poorosila ak bysom bola vyzrebovana.💖,0.5,0.5,1.0,Neutral,0.713,Positive
Dnes ma caka prechadzka zasnezenou krajinou 🙂😋😋🤗,0.2317,0.7683,2.0,Negative,1.268,Neutral
Já unikám za dobrým jídlem 😅😅 S8,0.493,0.507,2.0,Neutral,0.36,Negative
"Palec Petr tak se stavte do Brna do Olympie, jednu vám dám 😉",0.5633,0.4367,3.0,Positive,0.464,Negative
Vyjadrím Názor voda zatial tečie 😂,0.6034,0.3966,3.0,Positive,0.221,Negative
Darovala by som ju synčekovi aby mu rýchlejšie ubehla cesta do školy 😊🍀 🍀🍀,0.5329999999999999,0.467,3.0,Neutral,1.5090000000000001,Positive
Pre sestrickine dievčatko 🙈🙏🏼🍼❤️❤️❤️❤️👯👪🐥,0.532,0.46799999999999997,3.0,Neutral,2.515,Positive
Už mame všetky tri rozprávky 😉,0.4515,0.5485,2.0,Neutral,0.464,Negative
SiSa Hodulíková  ankooo🤗🤗🤗,0.4888,0.5112,3.0,Neutral,0.0,Negative
Tomáš Ef Tak sa nazýva odnož Al Kaidy v Sýrii. 😉,0.45899999999999996,0.541,2.0,Neutral,0.464,Negative
"Naši kolegovia Emília a Andrej aj stážistka Miška (v strede) vás všetkých srdečne pozývajú na Európsky deň jazykov 2018 v Košiciach, ktorý sa bude konať už tento týždeň vo štvrtok (20. septembra) v Tabačka Kulturfabrik. 😊👉 Naše veselé trio spolu s ďalšími partnermi pre vás pripravili skvelý program. Tešíme sa na vás v Košiciach! 👋\n\nVšetky informácie o tomto podujatí nájdete tu ➡️ http://bit.ly/EDL2018_KE \n\n#EDLangs #EuropeForCulture",0.511,0.489,3.0,Neutral,1.455,Positive
Všetky ani sme ešte natáčali zbierať 😁😁😁,0.6615,0.3385,3.0,Positive,1.35,Negative
"Odíde a zdrhne kade ľahšie, potkan 🐀",0.4902,0.5098,2.0,Neutral,0.182,Negative
"ZMODERNIZOVANÉ AMERICAN SPACES SA TEŠIA NA VAŠU NÁVŠTEVU\nVeľvyslankyňa Bridget Brink vás všetkých pozýva do znovuotvorených a vynovených Amerických centier v Košiciach, Banskej Bystrici a Bratislave. Napíšte na info@americanspaces.sk a príďte si vyskúšať našu 3D tlačiareň či požičať si knihu angličtiny na skúšky alebo iné dobré čítanie po anglicky. Go American Spaces Slovakia! 🇺🇸🤝📚",0.4549,0.5451,2.0,Neutral,1.4349999999999998,Negative
ešte som nekolobežkovala.....a prečo nezačať aj teraz?👍,0.6005,0.3995,3.0,Positive,0.522,Negative
"Náš trnavský župan Jozef Viskupič: ""Teším sa, že tu teraz stretávam prúdiace davy. A dúfam, že voliči a voličky využijú možnosť a oslávia sviatok demokracie voľbou."" 💚 Trnavský samosprávny kraj",0.7705,0.2295,3.0,Positive,0.659,Negative
No predsa do mestskeho parku 😄 a taktiez aj na cyklisticky chodnik,0.0892,0.9108,2.0,Negative,0.422,Positive
Bol to pán hokejista....všetko naj....k narodkám...🥂🥃💪,0.5339,0.4661,3.0,Neutral,0.556,Negative
"Aj na záver roka tu máme nadupaný hudobný Deezer battle, ktorý vás naladí na každú novoročnú párty. Tentoraz proti sebe stoja hudobné štýly, ktoré si veľa z nás pamätá – 80. roky 💓 a 90. roky 👍 . Dávaš prednosť rockovo-popovým osemdesiatkam alebo ťa chytili tanečné deväťdesiate roky? Vypočuj si naše playlisty a zahlasuj za svoje obľúbené hudobné roky.\n\nPlaylisty nájdeš tu >> http://bit.ly/80s90sDeezer",0.7618,0.2382,3.0,Positive,1.194,Negative
Čo si tam všetci neco snupli Nejak im je veselo🤣,0.4805,0.5195,2.0,Neutral,0.0,Negative
Niekto opakuje po Rusoch 😄😄😄,0.4019,0.5981,2.0,Negative,1.266,Positive
Maria Zarecka 👋 dovidenia.,0.5,0.5,1.0,Neutral,0.416,Positive
Zoberem Ľudmila Molnárová🍀,0.4815,0.5185,2.0,Neutral,0.288,Negative
Ja so myslim se je to B. 💜💜💜,0.4574,0.5426,2.0,Neutral,1.968,Positive
Lego Friends pre moju dcérku budúcu prvacku😁😄,0.4164,0.5836,2.0,Negative,0.872,Positive
Ja nikam 🤷‍♀️ale pan manzel by na nej chcel chodit do roboty 🤩💪🏻🛴🛴🛴🛴🛴🛴🛴🛴🛴🛴,0.6413,0.3587,3.0,Positive,0.556,Negative
"Tedáá, vy si ale žijete! 😍😋👍 My naše raňajky radšej ani neodfotíme😂",0.4218,0.5782,2.0,Negative,2.055,Positive
Silvester strávim s rodinkou 🍾❤️,0.4888,0.5112,3.0,Neutral,0.0,Positive
Ruzena Srnkova a ja sa s tym musim zmierit 😄,0.5007,0.4993,3.0,Neutral,0.422,Positive
"🇪🇺🎉 Oslávte s nami Deň Európy v Bratislave, Košiciach a Prešove! \n\nViac info o podujatiach: \n4. mája 2018 Deň Európy 2018 v Košiciach\n4. mája 2018 Deň Európy 2018 v Prešove\n9. mája 2018 Deň Európy 2018 v Bratislave\n\n#EuropeDay",0.4821,0.5179,2.0,Neutral,1.936,Positive
Геннадий Поздняков это правда 😕,0.3265,0.6735,2.0,Negative,-0.4,Neutral
V batohu sa nachádzajú produkty za Bombastické ceny🍀takže A🍀,0.4751,0.5249,2.0,Neutral,0.576,Positive
Prvá moja jazda by bola do Haluzic  😉,0.4465,0.5535,2.0,Negative,0.464,Positive
MS BUBLINKA 🎈Liptovský Mikuláš ✌🏼,0.4547,0.5453,2.0,Neutral,0.726,Positive
"Fén, penove tužidlo, sponky, kefu na vlasy, hrebeň😛",0.3923,0.6077,2.0,Negative,0.609,Positive
"treba vydržať , lebo len v jednote je sila 👍",0.6146,0.3854,3.0,Positive,0.522,Negative
V NM tiež celý týždeň nebola... Tak som sa na ňu tešila... 😑,0.4644,0.5356,2.0,Neutral,-0.314,Negative
Lego FRIENDS ❤ pre moju dcérku  🎁,0.4585,0.5415,2.0,Neutral,0.767,Positive
"Chutia vám naše hotdogy?🌭🌭 \nPretože vo Veľkom teste hotdogov sme obstáli ako to najlepšie miesto na hotdogy na cestách.👌 Aj redakcia Startitup išla ochutnať našu novinku, Mexický hotdog. Čo na ňu povedali, zistíte v článku.",0.4344,0.5656,2.0,Negative,0.564,Positive
Hm chutili sme si naň a v Šuranoch ho nemali 😞,0.5996,0.4004,3.0,Positive,-0.118,Negative
"Suprová, užlen nech dostavajú vTvrdošíne nový Lidl a už tam bežím 😁",0.451,0.5489999999999999,2.0,Neutral,0.45,Negative
"On im ešte da kar do huby  ,založi stranu a bude potom veselo🤣👊👊",0.2993,0.7007,2.0,Negative,0.458,Neutral
"Oranžová, a pre mojho malého upistaneho synovca Felixa 😁",0.4608,0.5392,2.0,Neutral,0.45,Negative
"Už ste ochutnali našu NOVINKU?💥 Parádny burger stačí zohriať v mikrovlnnej rúre a ""vytuningovať"" zeleninou podľa vlastnej chuti😝🍔 #novinka #lidlsk #hamburger",0.6029,0.3971,3.0,Positive,0.8599999999999999,Negative
Tak pridi do Handlovej do lidla tam nakúpiš 😉,0.5456,0.4544,3.0,Neutral,0.464,Negative
Martina Rosincová  skolenie falzy😁,0.4229,0.5771,2.0,Negative,0.45,Neutral
870 000 a bude rásť 941000 :) 🌲🌲,0.8154,0.1846,3.0,Positive,0.87,Negative
A 🔝🎁💙🍾 - like a súťažím parádna výhra a like stránce .. Lidl Slovensko,0.5256,0.4744,3.0,Neutral,1.978,Positive
A sme sa to dozvedelo prvé 😀😁,0.4882,0.5118,2.0,Neutral,1.022,Positive
Aj vy máte radi túto tradičnú slovenskú pochutinu?😍 Od štvrtka za zvýhodnenú cenu.🤗 Viac info👉https://bit.ly/2xAuUXp,0.5429,0.4571,3.0,Neutral,1.072,Positive
Napísal to normálne... PASTEKARI.. 😀,0.4551,0.5449,2.0,Neutral,0.572,Positive
Zuzana Feketeová Viera Havlíčková leták pre nás 😀,0.5337,0.4663,3.0,Neutral,0.572,Positive
Na svete mam najradsej Tortelinka Sladko-Kyseľová 👩‍❤️‍💋‍👨,0.5243,0.4757,3.0,Neutral,1.3379999999999999,Positive
Postavicky z brozurky sa volaju MAX a LILI  a balicek by potesil Sasenku💟💟💟,0.5009,0.4991,3.0,Neutral,2.142,Positive
"Svadba desaťročia sa blíži. Po piatkovom stretnutí s E. MACRONOM sme debatovali, či by prijal s drahou manželkou pozvanie na náš veľký deň D. Čakáme odpoveď. Váš Prezident 🇸🇰✔️🍀",0.026000000000000002,0.9740000000000001,2.0,Negative,0.815,Positive
Určite Vyhráme 🏒\n🇸🇰 4:2 🇨🇦,0.5335,0.4665,3.0,Neutral,0.527,Negative
"Ako ste vykročili do nového roku 2019?😉 My sme sa už od prvého dňa pustili s hlbokým nádychom,  do nových výziev. \n\nPo sviatkoch prichádza obdobie kedy väčšina hľadá balans nielen vo svojich myšlienkach a predsavzatiach, ale aj v stravovaní. Skúste náš ľahký recept s naturálnym tofu, kde kombinácia zázvoru, medu a sójovej omáčky vytvára dokonalé prepojenie chutí.😋 \n#chutnakuchyna\n\nRecept nájdete na našom webe: https://bit.ly/2HbCVJN\n\nNový rok bude na toľko výnimočný akým si ho spravíte. 🙂",0.0761,0.9239,2.0,Negative,1.098,Positive
Takže bolestivo pravdivá? 😅,0.5,0.5,1.0,Neutral,0.18,Negative
Že im to niekto ešte žerie sa čudujem 😴😴😴😴,0.5179,0.4821,3.0,Neutral,-0.243,Negative
Pre moju princeznú lego friends 🤗,0.3827,0.6173,2.0,Negative,0.0,Positive
Pre nášho synčeka co sa este len narodi 😘🍀,0.5345,0.4655,3.0,Neutral,0.99,Positive
Len tak vyvetrat hlavu....😜😃😜,0.5699,0.4301,3.0,Positive,1.47,Neutral
No fuj!!! Že vraj lavicivo orientovaný 😨😨😨,0.4697,0.5303,2.0,Neutral,-0.42299999999999993,Negative
My čakáme chlapčeka takže by som ho chcela pre môj malý poklad ❤❤❤👶👶,0.4981,0.5019,2.0,Neutral,0.896,Positive
"Skvelé, ukazuje že 8 stupňov... Snáď bude dnes aj 🌄🌞",0.5476,0.4524,3.0,Neutral,0.768,Positive
Do školy alebo na večerne jazdenie parkom 👌,0.5,0.5,1.0,Neutral,0.564,Negative
"Pre nasu druhu dcerku, ktora v lete pribudne do nasej rodiny 😍",0.5309,0.4691,3.0,Neutral,0.678,Positive
Bezpecnost na lyziach? Ikea 😉👌🏻,0.5649,0.4351,3.0,Positive,1.028,Neutral
A kedy už bude konečne taliansky tyzden??? 😞😞,0.6117,0.3883,3.0,Positive,-0.236,Negative
Prvy je jahodovy a cucoriedkovy🤗 mam tiez rada😋😋,0.5457,0.4543,3.0,Neutral,1.268,Positive
Na rozziarene ocka nasich deti pri stromceku 💗💗💗💗💗💗,0.4832,0.5168,2.0,Neutral,1.977,Positive
Kaspar 15 zapasov bez golu = 1 utok 👍 A sherbatov zase na tribune. Riha VON.,0.5426,0.4574,3.0,Neutral,0.522,Positive
Modrý majáčik do každej rodiny! 😎 Ľudia si zaslúžia Istoty!,0.5487,0.4513,3.0,Neutral,0.493,Negative
Slávka Kimi Kimerlingová - Lešková slavus toto zaves fo vytahu 😉😋,0.4366,0.5634,2.0,Negative,1.098,Positive
Politika sa musí konečne začať robiť v záujme ľudu pre jeho dobro 💚,0.5462,0.4538,3.0,Neutral,0.659,Negative
