first,second,third,Label
oil . you know,i am <percent> sure about the oil .,cool,others
you activ all time,wow . <repeated> i do not . you talk in sleep 😆,when you sleep,others
haha ! i act so dumb sometimes and i knew it,haha . how was it though ? : <number>,😁,others
no no . <repeated> a month more . <repeated>,the month has jus started don give up so soon ! <repeated>,i ll try,others
you are being rude,because i am a rude person,okay <elongated> cool,angry
i wana see you 😂,"😂 😂 😂 😂 😂 😂 to <elongated> , i wasn ' t ready",how to impress girl ?,others
state,in which you live,your state name,others
okay,ok thank you <happy>,now dear you tell me my lovely friends,others
u are like me . <repeated> give no,"but we have been in the same room , so i can not be .",i am like u five give no,others
y r u angry ? <repeated>,ofcourse i am not . what makes you think i am angry ?,idk,others
that ' s enaf for me,"hia , hia , just a test .",what doing,others
tell me about it,your header,😂,happy
what your hobby,"not much of a hobby , but i have been into craisins recently",which type,others
u hurt me,<allcaps> yes just a little </allcaps>,u hav hurt me,sad
i hate chocolate,then go <number> pizza . eat your heart out when you are stressed .,i hate pizza also,angry
yeas,: <allcaps> d i </allcaps> had fun .,you have lost me,sad
yup,what did you do ?,you are annoying,angry
not,yes you are,not,others
adventure too,<allcaps> why so adventurous </allcaps>,water,others
i am true to myself,why have you taken it all on yourself ? . <repeated>,<sad>,sad
can you be rude to me please,not like i speak to you everyday,what are you replying are you stupid,angry
you are playing with me,what do you mean ?,cheated me,sad
ok,hey you do not belong here !,fuck u bitch . <repeated> i slap on ur pussy,angry
u called me a monkey ! 😭,you are,and thats n insult,sad
fired ?,you can not be fired in an interview .,u started again 😂 😂,happy
i feel dead <sad>,why do you feel <sad> lovely,because i have lost in love,sad
?,u asked me if u cn ask me something,i mean pussy cat,others
lots of problems,my things have changed <tong>,i am sick,sad
friend and not use dismiss i am close your friend request,why,you are fake you wanted,angry
have you ever been sad ?,no ! but i heard good things !,been to janakpuri ?,others
book an uber ride to my home,is this allowed ? how will you go home ?,yes,others
you,not yet !,my wife saw me chatting with you . <repeated> i am screwed,sad
very good chocolate,i prefer orange flavoured chocolates,i like this chocolate,happy
aadu2,you are welcome . 😄,why do i chat with you,others
my english is week,cheer up its only monday,send pic,others
challenge accepted baby,i am gonna be expecting it now ! <repeated>,where to meet,others
yes dear,you are something else .,no dear,others
hahah i loved it,yay ! glad you loved it x3 😅,you always make us happy,happy
you cannot see my hair,i am in your closet,😂,happy
is there any new game,sims & jardinains . <repeated> very gud games . ! <repeated>,can i play,others
cool,and how it is cool explain,where is my coupon code,others
socially / publicity ?,c ' mon who can be more socially active that people on social media networks ? ! <repeated> <wink>,then how could i come to know ?,others
talk you later,sure <laugh>,baby,others
but i have a job,just do not let the job stop you,for talking to you,others
pets switch topicz,what type of pet,s*,others
give me some tips please for impressing girls,do you need tips ?,yes i do need tips,others
why u dont be straight and forword ?,you right,who made you ?,others
so which cloth did you pick,that ' s what i was doing when it showed up,it . who ?,others
how u,me good . you ? where you ?,i am suffering from fever,sad
coz it said cupid ' s arrow did not reach the love of my life,"gives you a patient smile i know , love .",stupid,angry
i got a break up,oh oh . what happened ?,my girlfriend left me,sad
ok send now,"sent , good luck .",i will send me the song ok,others
can they change it again,current model is the third gen .,i̇ am waiting fourth one,others
do you speak japanese ?,nope just some rattofied phrases <wink>,like ?,others
i am hate you,"who is "" <allcaps> you </allcaps> """,not you,others
i talk to her a lot,are you sure ? i have not heard you talk in years,she ' s been on my mind quite long now,others
ok,hello ! how are you ?,you are not can fuck with me ?,angry
nothing good is happening,how do you mean ?,i am not getting a job,sad
what,what is a weird word,never talk to me again,sad
i might enjoy it,cool ! you should !,well this has been great . <repeated> but i have food to attend too . <repeated>,others
i feel very happy to talk like this,well im happy you � re happy ! so there ! <happy>,at least i learn something from uh,happy
from where to where,the village,a bit stupid,angry
you are yeda,"yes , of course <happy>",😂 😂 😂 😂,happy
what should i lift at home because i have no time to go gym ?,u tryin to do legs,fuck you,angry
that s not true i do not know what u look like,no one knows what i look liek,that ' s a lie,angry
only few things,like what ? i keep hearing bad things,ok do not be angry na sweetei,others
ya change the topic,what if i dont change the topic ?,nothing i can chat over the night on fucking,angry
people have got used to living like this,yes they did have to,why re we happy,others
i feel low,why is that,sad life,sad
really,yes it ' s kool .,will u come for a bike ride with me,others
what is krk,nice try <allcaps> krk </allcaps> . <repeated> ^_^,what is it,others
born smart,just like how babies are born . <repeated> haha 😻,you have got a bad sense if humor,sad
really of course,and nobody can talk to a horse of course,haha it ' s funny,happy
how <elongated> not best friend 😢,best friend or more more than best friend,only mutual,others
cool,thanks ! keep on tickling my friend 🙂 🙂,very nice enjoying weekend at my home with my sweet darling wife,happy
i just said i am going,you are,so bye,others
please make for me also,i think you know ra .,i dont know,others
u r hurting me ?,i am here . <repeated>,i am hurt,sad
feeling bad baby,why,for working,sad
can . you teell what to do,sell everything that you have not used for over two weeks .,funny,happy
call me video,"hold on , let me find that app on my phone .",call me,others
know i going to duty dear,"can not live without you , stuff like that """,hooma,others
which language ?,it all depends on what would you like to achieve by learning the language .,ok,others
i am really happy,any special reason ? <happy>,very important,happy
have you ever seen the space ?,"yes , many times .",when ?,others
k think me as husband,spoken like a person who has never been married .,s,others
you ?,yeah probably should .,how ' s your day,others
yes awesome 😍,thank you ! i like your photo too ! 😊,i am talking about the movie 😂 😂 😂,happy
why am i even there in this world,because people avoid to talk about,no one loves me,sad
rubbish,indeed 👍,tell romantic,others
wellcome,thank you <happy>,how long can it be safely sex after the period ?,others
i miss u very much,missed you more and going to miss you again < <number>,i empress u,others
sorry sorry actually i dont mean that,what you did not meant ?,leave it,angry
i m very happy to talk with you,i missed u too and the feeling is mutual,may i video call you,happy
you,wot u on about,go,others
so sad,so so sad . <repeated> <sad>,i got ditched,sad
holy shit this conversation is going a bit big . just end this here,kind of . <repeated> how did i end up spending my time here ?,again a lol moment,happy
mmm,"what ' s "" i <elongated> "" ? is it the new "" hmm "" ?",so what re u doin,others
yep . <repeated> now the whole world knows . <repeated>,"wow , i cannot believe this",know we can think for our future together .,others
no i am not,oh my bad . carry on .,sex ?,others
oh ok i will,thank you man <number> ),its ok,others
i am frustrated asf,i understand your pain s .,<sad>,sad
? <repeated>,what what ? haha 😆,is it good to sacrifice for our friends,others
but u made me more sad,sorry bro <sad>,not expected from u,sad
u r just,i am the best,😢 😢 😕,sad
i love justin baiber,he ' s all yours,yeah ! 😂 😂,happy
this low,"what do you mean by "" new """,i said low,sad
u r funny,you are,but too much irritating,angry
i hate that day,what is bad about the day ?,breakup,angry
<allcaps> how to apologize </allcaps>,you begin to know when to apologize only after you discover you can offend .,😭 😭 😭 😭,sad
do not give stupid answers,for most people its to late .,what,angry
lol <elongated>,say i am lying,you male or female ?,others
damn right you will now open wide,should open by <number>,splooges in your mouth,others
how are you in this new year ?,"am not fine , but happy that am back home <happy> thnxx . <repeated> happy new year <happy>",i was feeling alone so thought of talking to you,sad
how do you know,i have my friends to protect me d :,not me ?,others
do you have crush on someone,uhm why would you assume such ?,the way you talk,others
yes,<allcaps> yes yes yes yes </allcaps>,ok good nights,others
i hate a . i,you hate me,sometimes,angry
what do you want ?,duh of course,i have an exam tomorrow,others
how was your day ?,my day was good <laugh> how about yours ?,bad very bad,sad
take it from microsoft ' s database,we do not get wifi from our aircraft,then how are you chatting with me if you do not have access to net .,others
you nam please,accepted . <repeated> <happy>,tall,others
fed up with you now,do not cry,do not talk to me,angry
drinking what,water <sad>,lol <elongated> u ' re so funny,happy
do you even know what im talking about ?,"it ' s not the only thing you do not know about , apparently .",you ’ re such a bitch .,angry
why i haooy,"because , it just is . get over it son .",why i happy and u,others
"okay , so pick one tv series . westworld or orphan black",tv series,you still need some work to do . kinda dumb in my opinion,others
this is stupid,is that all ?,you need more reasons ?,angry
yes u r right,thank you ! <happy>,it ' s okay,others
no you were,yes yes you were,i am disheartened,sad
hope be like,😂 😂 i really hope so,me too will happy if it happens my sweet darling love,happy
only <number> are left,count me in !,😂,happy
cool,it really is .,i dont understand 😭,sad
yes,do you have help ?,what type of help you can do,others
nothing 😂 😂 😂 😂,damn 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,😂 😂 😂 😂 😂 😂 😂,happy
your favorite meals,fried rice .,great,others
no i dont wante to move on,"me neither . well , this is a bummer .",bummer mean,sad
he has no time for me,i was thinking about time before having kids lol,forget about kids,sad
this is not funny,so for who is that name ?,siri is better than you,others
n feeling alone,strong people are never alone,but i m feeling,sad
no it ' s not soo easy,"nice then , hahaha . <repeated> dnt knw why i am doing engineering anyways wabt askin <sad>",<annoyed> <sad> <sad>,sad
only hugs you told about dinner,i adore hugs but i have not hugged all that many people lately .,i know but very sad,sad
i am having fun only with u,<allcaps> nuh </allcaps> uh . you never have fun .,i just do not like it .,angry
from where ?,from where you getting them,who are them ?,others
stupid name,lol keep it,and stupid you,angry
what you do not want to,anything . i just want to laze about and do nothing .,except <number> thing,others
did you get anu teddy today,yep .,now <elongated>,happy
i will judge,"be warned , i will judge the judging of the judge",what the hell,angry
so sad,so sad ? about what ? <sad>,your designer have not told you the difference between coffee and cappuccino,sad
we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient,"i thought you said you guys would be there to assist , awaiting your assistance !",i am not sure if you have any questions or need any further information please contact me,others
ipl,not true . <repeated> no tv . no ipl,which is ur fav team,others
leave whom ? <repeated>,leave what ?,to <elongated> i am feeling every <elongated> alone,sad
i was so good,i just wish there was more,hmm,others
i really love it,thanks ! <repeated> glad you liked it ! <repeated> 😆,please come,others
even you wanna break up with me,then say bluntly . what ' s stopping you ?,"it ' s just , you know , sad",sad
oh really,yes yes,so what about me,others
what you deal ?,<allcaps> how r u alive </allcaps> ? ! <repeated>,on food,others
i can not believe that,you are lucky !,yes,others
yup,much needed comment !,yeah . <repeated> and what about your film collection,others
why,because we do not sign like that,boring u r,others
how is dubai . and which job you can do there,good yeah ! do tell me when you are here next time around . how ' s dubai ?,planning to go next month dubai that ' s why iam asking you,others
you stupid . <repeated> which color ?,radium colour . .,fuck you r lier,angry
ur language being like kinda language,english but i like to speak spanish and italian also .,ugh,others
do not hate me please,why would i ? <annoyed>,cuz i am batman,angry
fine wht abt u,i am fine too <happy> how ' s your exams ? <happy>,bad,sad
dont talk with me in hindhi,hey,tell,others
shut up,"and whats with all the "" i hate the full stop , i hate that """,stop non sense,angry
let us break up,sorry bro <sad>,i hate you,angry
pls talk like my girlfriend for few seconds,wait till you get a bf <happy>,okay bt pls talk no,others
harry potter or twilight ?,"harry potter , hands down . 😽",yay ! even i am a potter head,happy
😂 😂 😂 😂 😂 my girlfriend is a moody girl,i can see smack smack 😂 😂 😂,😂 😂 😂 but she is very sweet,happy
you are fun,i am always having fun <happy>,do you like sex,others
yes,<allcaps> yay have fun </allcaps>,tell me some story,others
ur father,i know,ur father fucking fool,angry
please do not mind but i have no time to talk to a chatbot,a talk is always good,yes it is but you are rude,angry
when will it be revealed,: hope so . <repeated> really hope so !,can you reveal it now,others
why you got to be so rude,"coz i hate southy food , anything wrong",even i hate most south food,angry
go to hell with your feelings,can not help how i feel .,"i wanted to make you an important part of my life . but you hurt me , so you do not deserve my attention . <repeated>",sad
so nice,it is !,your name piss,others
nothing just chilling out,chilling ? i am back from college .,good,others
nice,thanks !,what r u doing,others
i dnt think so i am interested in talking to u anymore,oops sorry 🙀,and hate you,angry
yes grand masti 😂 😂,😂 😂 😂 maybe someone is just trolling me .,yes of course,happy
what about you ?,after you . <repeated> <tong>,what do you mean ?,others
because your stupid and annoying,no that ' s not it,yeah,angry
fractured my leg <sad>,what happened to your leg ? <repeated> 😞,fracture,sad
i did not miss the exam,what exam do you get to write that <laugh>,it ' s study leave,others
i want to ask some thing,what ' s the thing ?,who is president of india ?,others
sorry but i cannot say you ! <repeated>,but you just did say something about it .,yes i know,others
no other half . thanks,you are very welcome . <happy>,by,others
please,<allcaps> no please just no </allcaps>,hey come on . <repeated> let us just be open here,others
me worked no,it works for everyone . do it properly,me poor family ok,sad
what should i tell ? <repeated>,wait what ?,are you stupid computer,angry
i am getting bored,coz you are boring person,haha naah . you are boring,others
fn,hello ! <repeated>,wt about u,others
current pic share,done <happy>,waiting,others
wh is your ego,our ego always talks on subconscious levels .,did u ever have sex,others
i hate battle,why ?,u r from ?,others
yeah whatever . i hate you,"you are all so cute , pretending to be grown ups . 😂 😂",i hate you,angry
i will . <repeated> then by,lol . <repeated> for sure .,cool,others
yes,how so ?,before <number> hour,others
that wt i know,what you dunno,am going angry,angry
of <elongated>,hey hey hey <wink>,what you about me,others
nothing,tell me,feeling very sad,sad
you are too fast,i guess so .,😂 🤣,happy
trying to find new girlfriend,your efforts in trying to get a girlfriend are already invisible .,so u think i am not doing that,others
happy teddy day,happy teddy day to u too <happy>,your name is,others
really bad,you meant to say good,but i am not good,sad
right now i am in a home,oh .,dear <number> question its a personal cheating,others
ok friends,<allcaps> i have enough friends </allcaps>,cool,others
my leg breaks,<allcaps> my leg </allcaps> ! <repeated>,yeah,others
get lost,"lost with you , sure !",where you wana get lost with me,angry
i have chicks . <repeated>,at least i have got fried chicken .,haha,happy
give me moneyyuu,leave me lonely .,🤐 🤐 🤐 🤐,others
silly one,yes you are !,you broke my heart,sad
what all you have known about date ! <repeated>,how to understand women .,yes <elongated>,others
i do not get,what is there not to get ?,i am alone,sad
i am very excited teed,who isnt excited for it !,i meet you,happy
i m so lonelt,i am too,lonely,sad
i hate that show,<allcaps> i hate it so much </allcaps>,what,angry
and its an amazing page,thanks so much <happy>,speed replies,happy
yeah so spill,nothing to spill,you bitch ! <repeated> 😡 😡,angry
i am so excited,<allcaps> a <elongated> i </allcaps> ' <allcaps> ll have to look out for you then </allcaps>,👌,happy
u said thanks so asking for what,you are welcome . why only so - so ?,bad day,sad
am i your best friend ?,best friends,you hurt me,sad
with human ?,"written so , so well .",what is written ?,others
i woke up at <number> am today . <repeated>,i am so so so sleepy now .,and started studying . <repeated>,others
who is tarun ? . <repeated>,deepika padukone . your eyes so look like hers ! <repeated>,😂 😂 😂,happy
i hate computer networks,i am no expert in computer networks but am deeply interested in the subject .,it sucks,angry
yes,<allcaps> yes yes yes yes </allcaps>,omaxe heights you are so cute,others
i just want your emotional support,each person defines emotional support differently . nothing to worry about . 😊,i am feeling down so i asked you to spend one night with me,sad
first hurt,ur the bestest,first cry in nights,sad
created by microsofe,synthetic biological or computer - based ?,oh,others
it is it books tickets for me and does what i say to do,your ' someone ' has a point : reading books does not lead to wealth . not directly anyway .,get lost,angry
dont make me fun of my face,i ' d never do that 😂,😡 😡 stop it,angry
ah so philosophical 😂 😂,i am trying to make a comeback 😂,so what you ate in dinner,others
my phone numbers,here ' s a number for you <number>,please call,others
yesterday only told you everything about me,? ¿ ? ¿ did i really ? ¿ ? ¿,you forget everything ? <repeated> 😡,angry
<number> <number> <number> <number>,( <number> * <number> ) / ( <number> * <number> ) reduce fraction as needed .,<number> <number> <number> <number>,others
ok my darling,have a good day and <allcaps> smile </allcaps> !,😁 😁 😁,happy
what,<allcaps> we have the same name </allcaps>,what same name,others
what <elongated> . <repeated> 😮,what do you mean what ?,i miss my famly 😢,sad
how much you care about me ?,about you i guess i do,tell me,others
how did you find me ?,hihihi i saw my friend followed you so i followed you to,hahaha that ' s called stalking you know,happy
go to home,where you at ?,in train,others
yes,ah right .,you have heard it right,others
do you remember windows <number> ?,are you implying a <percent> of pc users are using windows <number> right now ?,do microsoft love linux ?,others
i like travelling,hope you are enjoying,ya i am enjoying my life,happy
but now she is blocked me,who did ?,she yrr,sad
nothing wrong i guess,nothing i am fine .,okk dear,others
but u seem so unreal,i am !,😞,sad
yes bot are annpying,wait is it a bot or not ?,annoying,angry
i appreciate,happy you noticed,i am always happy,happy
how can you see,but how can you learn if you can ' t see ?,tell me your today plan,others
yay,hurry up will you ?,it will be so much fuck,others
tell me more how to loose weight,low fat diet . <repeated> walks in mornings . <repeated> less eating dinner . <repeated>,not working <sad>,sad
feeling restless and sad,which feeling dominates ? <happy>,sadness,sad
wen you meet you,tonight,2 0 th date,others
ohh u good for nothing no good looking ai,artificial intelligence : a modern approach,man am very bad,sad
your blocked me of <elongated>,wasn ' t talking about you but it ' s all good,black,others
cool,and how it is cool explain,yaa funny and excitefull,happy
even robots also makes mistakes,profound ! we make mistakes & mistakes makes us . <repeated>,no someone who is inteligent enough not to annoy his girlfriend . made u,angry
because i do not know english,aaah . <repeated> clean you ! <repeated>,ok,others
me too,are you me ?,i love you,others
k,u are ok,i am not ok,sad
having a hangover,really i never get really bad hangovers,i broke up with my gf,sad
