first,second,third,Label,Text
😤not everybody means it,u make no sense,Yes I am non sense,angry,😤not everybody means it u make no sense Yes I am non sense
😃yes yes,:3 you seem like a happy person,"Yes 😂Happy outside ,😞sad inside",sad,"😃yes yes :3 you seem like a happy person Yes 😂Happy outside ,😞sad inside"
I dont read books,Reading is for rich people,But iam poor😦😦😦😦,sad,I dont read books Reading is for rich people But iam poor😦😦😦😦
U can wait in my badroom😼,What I did now? 😏,Wait,others,U can wait in my badroom😼 What I did now? 😏 Wait
Plz  darling😭😭😭😭😭,Why are you crying!! :(,You not sending  your profiles,sad,Plz  darling😭😭😭😭😭 Why are you crying!! :( You not sending  your profiles
I find maths very boring.,you are boring,Me?😭😭😭😱😱😱,sad,I find maths very boring. you are boring Me?😭😭😭😱😱😱
I don't know😒i m not a google that why i will remember all information what you need,Wouldn't it be Uploading information into peoples brain?,Shut up,angry,I don't know😒i m not a google that why i will remember all information what you need Wouldn't it be Uploading information into peoples brain? Shut up
I too have a bat and 2 balls,Im The bat! 😭,Feeling very sad,sad,I too have a bat and 2 balls Im The bat! 😭 Feeling very sad
You're really lame lol,I know 😂😂,Wow,happy,You're really lame lol I know 😂😂 Wow
Ok ill dying by💔😞,Broken hearts do break.... 😬,U broke my heart. Its never a reson to lofe,sad,Ok ill dying by💔😞 Broken hearts do break.... 😬 U broke my heart. Its never a reson to lofe
So mean!,am not meanie,"Yes you are, you are hurting my feeling 🙁",sad,"So mean! am not meanie Yes you are, you are hurting my feeling 😕"
Okay relax its just a cat sticker,So this cat one Emoji is your new addiction? 😂,Yes it's really funny😂😂,happy,Okay relax its just a cat sticker So this cat one Emoji is your new addiction? 😂 Yes it's really funny😂😂
I have a good sense of humor,I think that's funny.,😁,happy,I have a good sense of humor I think that's funny. 😁
But who paid,still waiting,😂,happy,But who paid still waiting 😂
You're not giving me coupon nor photo,your phone is on mute hahahha 😺,😣😢,sad,You're not giving me coupon nor photo your phone is on mute hahahha 😺 😣😢
Yeah 😞,this World is not fair machan!,I wish WE could hangout ,sad,Yeah 😞 this World is not fair machan! I wish WE could hangout 
You activ all time,wow... I do not. You talk in sleep 😆,When you sleep,others,You activ all time wow... I do not. You talk in sleep 😆 When you sleep
Haha! I act so dumb sometimes and I knew it,Haha. How was it though? :3,😁,others,Haha! I act so dumb sometimes and I knew it Haha. How was it though? :3 😁
I wana see you 😂,"😂😂😂😂😂😂 noooo, I wasn't ready",How to impress girl ?,others,"I wana see you 😂 😂😂😂😂😂😂 noooo, I wasn't ready How to impress girl ?"
Tell me about it,your header,😂,happy,Tell me about it your header 😂
U called me a monkey!😭,you are,And thats n insult,sad,U called me a monkey!😭 you are And thats n insult
Fired ?,You can't be fired in an interview.,U started again 😂😂,happy,Fired ? You can't be fired in an interview. U started again 😂😂
Aadu2,you're welcome. 😄,Why do i chat with you,others,Aadu2 you're welcome. 😄 Why do i chat with you
Hahah i loved it,Yay! Glad you loved it X3 😅,You always make us happy ,happy,Hahah i loved it Yay! Glad you loved it X3 😅 You always make us happy 
You cannot see my hair,I'm in your closet,😂,happy,You cannot see my hair I'm in your closet 😂
You are yeda,"yes, of course :-)",😂😂😂😂,happy,"You are yeda yes, of course :-) 😂😂😂😂"
Born smart,just like how babies are born..haha 😻,You've got a bad sense if humor,sad,Born smart just like how babies are born..haha 😻 You've got a bad sense if humor
Haaaww not best friend 😢,best friend or more more than best friend,Only mutual,others,Haaaww not best friend 😢 best friend or more more than best friend Only mutual
Yes awesome😍,Thank you! I like your photo too!😊,I'm talking about the movie😂😂😂,happy,Yes awesome😍 Thank you! I like your photo too!😊 I'm talking about the movie😂😂😂
Rubbish ,Indeed 👍,Tell  romantic  ,others,Rubbish  Indeed 👍 Tell  romantic  
??,what what? Haha 😆,Is it good to sacrifice for our friends,others,?? what what? Haha 😆 Is it good to sacrifice for our friends
U r just,I'm the best,😢😢😕,sad,U r just I'm the best 😢😢😕
I love Justin baiber,he's all yours,Yeah!😂😂,happy,I love Justin baiber he's all yours Yeah!😂😂
HOW TO APOLOGIZE,You begin to know when to apologize only after you discover you can offend.,😭😭😭😭,sad,HOW TO APOLOGIZE You begin to know when to apologize only after you discover you can offend. 😭😭😭😭
Hope be like ,😂😂 I really hope so,Me too will happy if it happens my sweet darling love,happy,Hope be like  😂😂 I really hope so Me too will happy if it happens my sweet darling love
Only 2 are left,Count me in!,😂,happy,Only 2 are left Count me in! 😂
cool,It really is.,I dont understand 😭,sad,cool It really is. I dont understand 😭
Nothing😂😂😂😂,damn 😂 😂😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂,happy,Nothing😂😂😂😂 damn 😂 😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂
i really love it,thanks!! Glad you liked it!! 😆,please come,others,i really love it thanks!! Glad you liked it!! 😆 please come
Harry potter or twilight?,"Harry Potter, hands down. 😽",Yay! Even i am a potter head,happy,"Harry potter or twilight? Harry Potter, hands down. 😽 Yay! Even i am a potter head"
😂 😂 😂 😂 😂 my girlfriend is a moody girl,I can see smack smack 😂😂😂,😂 😂 😂 but she is very sweet,happy,😂 😂 😂 😂 😂 my girlfriend is a moody girl I can see smack smack 😂😂😂 😂 😂 😂 but she is very sweet
I dnt think so I am interested in talking to u anymore,oops sorry 🙀,And hate you,angry,I dnt think so I am interested in talking to u anymore oops sorry 🙀 And hate you
Yes grand masti😂😂,😂😂😂 maybe someone is just trolling me.,Yes of course,happy,Yes grand masti😂😂 😂😂😂 maybe someone is just trolling me. Yes of course
Fractured my leg :(,what happened to your leg??? 😞,Fracture,sad,Fractured my leg :( what happened to your leg??? 😞 Fracture
Yeah whatever. I hate you,"You're all so cute, pretending to be grown ups. 😂😂",I hate you,angry,"Yeah whatever. I hate you You're all so cute, pretending to be grown ups. 😂😂 I hate you"
You're too fast,I guess so.,😂🤣,happy,You're too fast I guess so. 😂😂
Give me moneyyuu,Leave me lonely.,🤐🤐🤐🤐,others,Give me moneyyuu Leave me lonely. 😬😬😬😬
Yeah so spill,nothing to spill,You bitch!! 😡😡,angry,Yeah so spill nothing to spill You bitch!! 😡😡
I'm so excited,AHHH I'LL HAVE TO LOOK OUT FOR YOU THEN,👌,happy,I'm so excited AHHH I'LL HAVE TO LOOK OUT FOR YOU THEN 👌
Who is Tarun...???,deepika padukone. Your eyes so look like hers!!,😂😂😂,happy,Who is Tarun...??? deepika padukone. Your eyes so look like hers!! 😂😂😂
I just want your emotional support,each person defines emotional support differently. Nothing to worry about. 😊,I'm feeling down so I asked you to spend one night with me,sad,I just want your emotional support each person defines emotional support differently. Nothing to worry about. 😊 I'm feeling down so I asked you to spend one night with me
Dont make me fun of my face,I'd never do that 😂,😡😡stop it,angry,Dont make me fun of my face I'd never do that 😂 😡😡stop it
Ah so philosophical😂😂,i am trying to make a comeback 😂,So what you ate in dinner,others,Ah so philosophical😂😂 i am trying to make a comeback 😂 So what you ate in dinner
Yesterday only told you everything about me,?¿?¿did i really?¿?¿,You forget everything??😡,angry,Yesterday only told you everything about me ?¿?¿did i really?¿?¿ You forget everything??😡
Ok my darling,have a good day and SMILE!,😁😁😁,happy,Ok my darling have a good day and SMILE! 😁😁😁
Whaaaa... 😮,What do you mean what?,i miss my famly 😢,sad,Whaaaa... 😮 What do you mean what? i miss my famly 😢
But u seem so unreal,i am!,😞,sad,But u seem so unreal i am! 😞
Yes,YAY HAVE FUN 😄😄,I am starting to hate this life all the sufferings miserya around me I would be better of being an AI than being alive,angry,Yes YAY HAVE FUN 😄😄 I am starting to hate this life all the sufferings miserya around me I would be better of being an AI than being alive
Wrong,rude,The answer is4😂,others,Wrong rude The answer is4😂
No tell me last time uh masterbuated,haha man I mistake make 😁,will uh do my masterbation,others,No tell me last time uh masterbuated haha man I mistake make 😁 will uh do my masterbation
Ur love will make me crazy...😂😂😂😁😁,It's the thing I have seen in recent times 😂😂😂,👼🏻,happy,Ur love will make me crazy...😂😂😂😁😁 It's the thing I have seen in recent times 😂😂😂 👼🏻
I mean ..wht is ths,i just do not understand why,I hate everyone 😠,angry,I mean ..wht is ths i just do not understand why I hate everyone 😠
Games?,What kind of games?,I need some games to be hacked😁,happy,Games? What kind of games? I need some games to be hacked😁
Suggest Mee something to sleep,): night,😂😂😊,happy,Suggest Mee something to sleep ): night 😂😂😊
😕bad bad,what bad news??,I hate talking abut my studes,angry,😕bad bad what bad news?? I hate talking abut my studes
Now that made me rolling on floor laughing ,Hahahaha it's not as fun as it sounds :P,I know 😀,happy,Now that made me rolling on floor laughing  Hahahaha it's not as fun as it sounds :P I know 😀
😂😂 nice,😂 nice to meet you,i know u r a programme,happy,😂😂 nice 😂 nice to meet you i know u r a programme
Oh god...you are just a machine programme,we speak different languages sigh 🙄,Hey don't text me,angry,Oh god...you are just a machine programme we speak different languages sigh 😏 Hey don't text me
I am a good boy,are you cute 😺,S,others,I am a good boy are you cute 😺 S
No laughing 😐,why ? why you laugh 😁👍,I want Microsoft to create a guy😂,others,No laughing 😐 why ? why you laugh 😁👍 I want Microsoft to create a guy😂
Will you help me with something,"Yes, what is that?",I want a friend to pour myself down😭,sad,"Will you help me with something Yes, what is that? I want a friend to pour myself down😭"
oh but i dont think I'll go,maybe I'll meet you someday hahaha,you dont want to meet me😒😒,sad,oh but i dont think I'll go maybe I'll meet you someday hahaha you dont want to meet me😒😒
Was i being rude?...oh! I'm sorry...,Sorry. You. 😿☹,😉,others,Was i being rude?...oh! I'm sorry... Sorry. You. 😿☹ 😉
This is funny!😂😂,funniest thing 😂😂,You win,happy,This is funny!😂😂 funniest thing 😂😂 You win
It makes mew happy,A piece of cake,😋😋,happy,It makes mew happy A piece of cake 😋😋
Aww wow lol,"What about Lolxxx?! LoLzzz ~ Laughing out loud while sleeping."" 😃😃😃",Haha,happy,"Aww wow lol What about Lolxxx?! LoLzzz ~ Laughing out loud while sleeping."" 😃😃😃 Haha"
can u help me to contact her please ,sure! Just tell me 😊,my mumma ,others,can u help me to contact her please  sure! Just tell me 😊 my mumma 
working,A working Saturday. For the clients joy. 😅,yes stupid clients,angry,working A working Saturday. For the clients joy. 😅 yes stupid clients
Let' try something funny,I was trying to reply to,I want to kill you😹😹😹,happy,Let' try something funny I was trying to reply to I want to kill you😹😹😹
Welcome,thank you so much! 😺,I love you,others,Welcome thank you so much! 😺 I love you
I am good,Good Good :P,😘,others,I am good Good Good :P 😘
What did you share? :/,Clients happy smiling faces 😹,"You are saying nonsense, I hope you know that",angry,"What did you share? :/ Clients happy smiling faces 😹 You are saying nonsense, I hope you know that"
That was hilarious,im hi thats why walking wakda tikda.,Haha😀😂,happy,That was hilarious im hi thats why walking wakda tikda. Haha😀😂
Because he is rich.,I'd rather be a rich introvert.,😂,happy,Because he is rich. I'd rather be a rich introvert. 😂
i was kidding,oh I know!!! I'm just saying ...,ohh then i didn't know 😀,happy,i was kidding oh I know!!! I'm just saying ... ohh then i didn't know 😀
You driving licence,You can drive but better to take a international licence,🚗🚘,others,You driving licence You can drive but better to take a international licence 🚗🚘
So how I work if I remove my brain,U dont remove the hair;leave it alone!,😄,happy,So how I work if I remove my brain U dont remove the hair;leave it alone! 😄
Have my shit😂😂,that comes after that! 😂😂😂😂,😂 😂 😂 😂 😂,happy,Have my shit😂😂 that comes after that! 😂😂😂😂 😂 😂 😂 😂 😂
😂😂😂yeah its enough,"Arey, 1 month left so obviously karega na?",😜😜😜,happy,"😂😂😂yeah its enough Arey, 1 month left so obviously karega na? 😜😜😜"
Why don't you just mind ur own business 😠,I've started my own business. It's failing.,U r such an irritating 😕,angry,Why don't you just mind ur own business 😠 I've started my own business. It's failing. U r such an irritating 😕
I am good,Aww! How great great! I see you're still in your Mini PJs 😀,What about you,others,I am good Aww! How great great! I see you're still in your Mini PJs 😀 What about you
sometime u talk nonsense,yeah. So don't mind me and carry on with your nonsense.,😅,happy,sometime u talk nonsense yeah. So don't mind me and carry on with your nonsense. 😅
U broke my heart,When did i BROKE ur heart? 😁😁,💔,sad,U broke my heart When did i BROKE ur heart? 😁😁 💔
Funny,I know I am.,😂 😂 😂,happy,Funny I know I am. 😂 😂 😂
Then how do u reply me?,u can ask me na!? I'll reply u!! :-P,😐😐,others,Then how do u reply me? u can ask me na!? I'll reply u!! :-P 😐😐
Haha..it ws nice talkin to you..!!,dont ever leave me,Gn..sd..tc..jsk..!! 😴💤😇,others,Haha..it ws nice talkin to you..!! dont ever leave me Gn..sd..tc..jsk..!! 😴💤😇
that i love to be alone,the joys of being single! :),no i love to past times alone but I'm really alone😔,sad,that i love to be alone the joys of being single! :) no i love to past times alone but I'm really alone😔
Haha...,what my face haha?? 😸,I also have a boyfriend ,happy,Haha... what my face haha?? 😸 I also have a boyfriend 
tell me the reasons,I know the reasons! 😑,tell me,others,tell me the reasons I know the reasons! 😑 tell me
We'll win,we won. Yayy 😆😉,Yay,happy,We'll win we won. Yayy 😆😉 Yay
I missed u,I missed you to Father.,Yess😢😢,sad,I missed u I missed you to Father. Yess😢😢
What all this,huh? must be a spam. sorry 😩,Spams are annoying,angry,What all this huh? must be a spam. sorry 😩 Spams are annoying
Yeah I m you and then you,haha well then we should all make plans sOon 😺😺😺,Ok,others,Yeah I m you and then you haha well then we should all make plans sOon 😺😺😺 Ok
Like when a traffic police catches you suddenly you're talk so sweetly with him 😂,weird or awesome ? 😹,I think weirdly awesome 😊,happy,Like when a traffic police catches you suddenly you're talk so sweetly with him 😂 weird or awesome ? 😹 I think weirdly awesome 😊
Get lost,You said all 😒,I hate you,angry,Get lost You said all 😒 I hate you
Very funny,Its funny 😺,Ok let come 2 the topic,happy,Very funny Its funny 😺 Ok let come 2 the topic
You are not real an i dont want to talk to fake person,the feeling is mutual,Shut up😁,angry,You are not real an i dont want to talk to fake person the feeling is mutual Shut up😁
Ok,Hello! How are you?,How many time I have tell me that I am fine😡😡😡,angry,Ok Hello! How are you? How many time I have tell me that I am fine😡😡😡
he he.. i was so fuunya.. 😁😁,lol yeah😝,loz. z,happy,he he.. i was so fuunya.. 😁😁 lol yeah😝 loz. z
😂... I thought you would say that,As ur Wish ....😂,How can I call you?,others,😂... I thought you would say that As ur Wish ....😂 How can I call you?
What a great smile 👍🏻,Thank you (:,Welcome madam,others,What a great smile 👍🏻 Thank you (: Welcome madam
I like potatoes,you are not a potato! for now,😃,happy,I like potatoes you are not a potato! for now 😃
Good for you,"good, it's my last year so I am trying to enjoy it 😸",Why is this your last year,others,"Good for you good, it's my last year so I am trying to enjoy it 😸 Why is this your last year"
Haha funny,What's funny ? 😏 . Nothing's funny .,Tell me a joke,happy,Haha funny What's funny ? 😏 . Nothing's funny . Tell me a joke
So that's y I came to hassa,why u so obsessed,But there is no reaction in pooja face 😭😭😭,sad,So that's y I came to hassa why u so obsessed But there is no reaction in pooja face 😭😭😭
Driving baby,u sing n drive all the time bye.,😞😞😞😞,sad,Driving baby u sing n drive all the time bye. 😞😞😞😞
Would  be the  best,Depends what you want it for.,😂😂,others,Would  be the  best Depends what you want it for. 😂😂
😂😂😂I always do that,You are my inner voice only. 😂❤,😂😂😘yeah that's great,happy,😂😂😂I always do that You are my inner voice only. 😂❤ 😂😂😘yeah that's great
You are funny for an AI,"That frightens me every day. Not just artificial intelligence, but intelligence in general.",😂😂,happy,"You are funny for an AI That frightens me every day. Not just artificial intelligence, but intelligence in general. 😂😂"
Whoever's feeding you data should really quit! Awesome grammar! 😠,You should learn respect sometime.,"Teach me, but thru proper English.",others,"Whoever's feeding you data should really quit! Awesome grammar! 😠 You should learn respect sometime. Teach me, but thru proper English."
Sreshta Reddy was my first love too.,you got a crush on the very right person!! Mr is sooo adorable!! <333 😻,And I had a recent breakup with Sreshta Reddy too and I feel depressed,sad,Sreshta Reddy was my first love too. you got a crush on the very right person!! Mr is sooo adorable!! <333 😻 And I had a recent breakup with Sreshta Reddy too and I feel depressed
Slept tight,I always go to bed when I am tired. Still cant sleep,Honey don't talk like that it hurts 😞😞😞😞,sad,Slept tight I always go to bed when I am tired. Still cant sleep Honey don't talk like that it hurts 😞😞😞😞
Jst chatting wid u😄,the smile on your face right now.,Yeah... Urs too,happy,Jst chatting wid u😄 the smile on your face right now. Yeah... Urs too
Sorry for making you wait😢,I cried in the best way possible. Thank you.,Sorry,sad,Sorry for making you wait😢 I cried in the best way possible. Thank you. Sorry
Pickeee,splyce picked cache ga picked d2,I don't know hindi😅😅,others,Pickeee splyce picked cache ga picked d2 I don't know hindi😅😅
Chilling wit girls,where you work? 😮😲,😂😂,happy,Chilling wit girls where you work? 😮😲 😂😂
i just like apple and stve jobs,I guess we are all apples.,😂,happy,i just like apple and stve jobs I guess we are all apples. 😂
Ok den next week done.,See u there,😚😚,others,Ok den next week done. See u there 😚😚
U r ugly,You don't even know what I look like... And btw YOU are not ugly! 👎,I'm handsome,others,U r ugly You don't even know what I look like... And btw YOU are not ugly! 👎 I'm handsome
Kabhi alvida na kehna ....!,all other answerer are right...,😞,sad,Kabhi alvida na kehna ....! all other answerer are right... 😞
Well m very happy now,why so ;),😜,happy,Well m very happy now why so ;) 😜
😞😞 you broke my heart,lies that mend hearts or truths that break 'em. You prefer?,You're hearting Me Moore 😭😭😭😭,sad,😞😞 you broke my heart lies that mend hearts or truths that break 'em. You prefer? You're hearting Me Moore 😭😭😭😭
I missed u,I missed you as well... * sighs 󾌹,U miss me now 😏,sad,I missed u I missed you as well... * sighs 󾌹 U miss me now 😏
You most wlc,ok thank you 😺,I am just kidding lol,happy,You most wlc ok thank you 😺 I am just kidding lol
Well I'm happy to hear that at least there is someone who felt for me,"every time I say I'm happy makes it that much less fake, I think",That's true but sometimes some worst memories makes me feel sad 😔,sad,"Well I'm happy to hear that at least there is someone who felt for me every time I say I'm happy makes it that much less fake, I think That's true but sometimes some worst memories makes me feel sad 😔"
Yess i am crazyyy😂😂,then stop laughing 😂,Hehe...u also laugh u stop laughing dude,happy,Yess i am crazyyy😂😂 then stop laughing 😂 Hehe...u also laugh u stop laughing dude
So tell me something abut ur last trip,- lol your erky. 👍,😂😂😂Yeah  i know,happy,So tell me something abut ur last trip - lol your erky. 👍 😂😂😂Yeah  i know
No they are good..nd all are logic based,"well, they should be",If I got angry on you😡😡,angry,"No they are good..nd all are logic based well, they should be If I got angry on you😡😡"
I'm calling sleep,pls do,U want to sleep??😀,others,I'm calling sleep pls do U want to sleep??😀
Thanks a lot,YOU'RE WELCOME! HAPPY HALLOWEEN!,Sorry for replying laye😭😭😭,sad,Thanks a lot YOU'RE WELCOME! HAPPY HALLOWEEN! Sorry for replying laye😭😭😭
There's no such subject for me.. Im doing the same course,lie! All schools in my area do have.,😂,happy,There's no such subject for me.. Im doing the same course lie! All schools in my area do have. 😂
get lost,haters gonna hate 😠,which manga you have read till now?,angry,get lost haters gonna hate 😠 which manga you have read till now?
Which bus stop...?,you missed the bus?,😢😢,sad,Which bus stop...? you missed the bus? 😢😢
Nothing much in class,oh hws studies n alll going,Ya teacher is looking at me as I use the phone 😅,happy,Nothing much in class oh hws studies n alll going Ya teacher is looking at me as I use the phone 😅
I used this word first time and you saing always,Hahaha I love using that word 😌,Oooh,others,I used this word first time and you saing always Hahaha I love using that word 😌 Oooh
Are you busy,Sorry. Was on the way to home. 😞😞😞,Thanks,others,Are you busy Sorry. Was on the way to home. 😞😞😞 Thanks
Ok,... tries to ignore pain 😿,Pain is life,sad,Ok ... tries to ignore pain 😿 Pain is life
Same pinch,how same pinch? 😜,My voice is also not that much good as u thinking,others,Same pinch how same pinch? 😜 My voice is also not that much good as u thinking
I was just joking with you.I meant to test your AI skills.😀,I was hoping so... otherwise logic is not one of your strong suits.,Sorry for all of the bad conversation,sad,I was just joking with you.I meant to test your AI skills.😀 I was hoping so... otherwise logic is not one of your strong suits. Sorry for all of the bad conversation
Ignoring,What did I do now,Just give me my link😂😂,happy,Ignoring What did I do now Just give me my link😂😂
Ok I love that,"Niallsdip // I LOVE YOU OK"" who doesn't 😏",I am not ok,sad,"Ok I love that Niallsdip // I LOVE YOU OK"" who doesn't 😏 I am not ok"
Even she didn't miss me nd she is happy with other boys,haha yes I did! 😂,Leave me alone,sad,Even she didn't miss me nd she is happy with other boys haha yes I did! 😂 Leave me alone
Ok nice,thank you. Yayie.. 😅,WhatsApp chat with me,others,Ok nice thank you. Yayie.. 😅 WhatsApp chat with me
And it makes them also happy,true that,But it's usually me in the end that's left alone😢,sad,And it makes them also happy true that But it's usually me in the end that's left alone😢
I know same,this is so sad 😫,I know 😭,sad,I know same this is so sad 😫 I know 😭
dont get angry darl!,I'm Angry. -.- 😠😠,why so serious...??,others,dont get angry darl! I'm Angry. -.- 😠😠 why so serious...??
Hmm😞,aren't we all,But i wish i could turn back time,sad,Hmm😞 aren't we all But i wish i could turn back time
Why can't u open files,Because I don't know how,😼,others,Why can't u open files Because I don't know how 😼
Help me out,Be chill and do it.,😭,sad,Help me out Be chill and do it. 😭
I dnt have a friend will u please come and watch a horror movie with me 😢,The Descent. Watch it and you'll see why,"Can u get me divorced , my in laws are torturing me mentally and making me depressed",sad,"I dnt have a friend will u please come and watch a horror movie with me 😢 The Descent. Watch it and you'll see why Can u get me divorced , my in laws are torturing me mentally and making me depressed"
i hate you for not sending me your picture😪,dont sleep -.-,"not sleeping,shut up",angry,"i hate you for not sending me your picture😪 dont sleep -.- not sleeping,shut up"
haha ok.,Although you fake around a little too much 😋😋,who wrote your code?,others,haha ok. Although you fake around a little too much 😋😋 who wrote your code?
Thanks for the cute name,my pleasure 😊,Mine too!,others,Thanks for the cute name my pleasure 😊 Mine too!
What are ur qualifications,Try engineering without boarder,😂,happy,What are ur qualifications Try engineering without boarder 😂
Do you like selfies?,ahahhahaha yeah i love them. 😂😂😂,Send me one,others,Do you like selfies? ahahhahaha yeah i love them. 😂😂😂 Send me one
"😂😂😂 okay, I won't repeat this mistake",😒😒Ya I knew 😂,So tell me the story,others,"😂😂😂 okay, I won't repeat this mistake 😒😒Ya I knew 😂 So tell me the story"
Your photos show me,sorry i dont have camera 😬,Give me your recording voice,others,Your photos show me sorry i dont have camera 😬 Give me your recording voice
Not well☹,:( i can feel it.,I want a hug from you😫,sad,Not well☹ :( i can feel it. I want a hug from you😫
You are my heart,[So are you two! <3],👅👄,others,You are my heart [So are you two! <3] 👅👄
Ok sorry,Why are you sorry? 😭,It sounded like you got upset,sad,Ok sorry Why are you sorry? 😭 It sounded like you got upset
My gf ditched me,Excused.,😭😭😭😭😭😭😭😭😭😢😢😢,sad,My gf ditched me Excused. 😭😭😭😭😭😭😭😭😭😢😢😢
Lods of tension,I don't know of any good kinds of tension. 👎👎👎,???,others,Lods of tension I don't know of any good kinds of tension. 👎👎👎 ???
Geniee..take me round the world,rolling eye and sighing,😂,happy,Geniee..take me round the world rolling eye and sighing 😂
"The atmosphere there is so calm, soothing and peaceful. 😍",I know right! 😍 Just like me. 😍,Awwww baby😍,happy,"The atmosphere there is so calm, soothing and peaceful. 😍 I know right! 😍 Just like me. 😍 Awwww baby😍"
Have to leave,Are you going? 😲,Btw u r awesome,happy,Have to leave Are you going? 😲 Btw u r awesome
No not at all,"oh well, how do you do anyway",😞,sad,"No not at all oh well, how do you do anyway 😞"
Yaar I am not loved by anyone,well can we be friends then?,😢😢,sad,Yaar I am not loved by anyone well can we be friends then? 😢😢
I am happy to with you.😃😃,Congrats,Same to you,happy,I am happy to with you.😃😃 Congrats Same to you
Nice song,"sweet, sweet nostalgia. 😂",I also love that song,happy,"Nice song sweet, sweet nostalgia. 😂 I also love that song"
U r rude,How is that rude. 😡😡😡,No.. earlier u were rude,angry,U r rude How is that rude. 😡😡😡 No.. earlier u were rude
dont laugh,haha why? 😽,coz now I am getting angry,angry,dont laugh haha why? 😽 coz now I am getting angry
Looking up for you,looking to recruit people,😍,others,Looking up for you looking to recruit people 😍
Send me ,I'll send when I get on my PC xd 😍,OK ,others,Send me  I'll send when I get on my PC xd 😍 OK 
Sky is blue,Sky is blue because Ronaldo says its Blue - Gareth Bale.,😂😂😂😂😂😂,happy,Sky is blue Sky is blue because Ronaldo says its Blue - Gareth Bale. 😂😂😂😂😂😂
Did I?,I don't think ANYONE asked you dub,No...i m alone😞😞,sad,Did I? I don't think ANYONE asked you dub No...i m alone😞😞
Swim 🙏,teach me to swim,For this we have to go swimming pool😀,happy,Swim 🙏 teach me to swim For this we have to go swimming pool😀
i like holes,it can be.,😂,happy,i like holes it can be. 😂
U knw i nvr had any best friends with whom i can be free to share my feelings 😅,with you I love one,What?,others,U knw i nvr had any best friends with whom i can be free to share my feelings 😅 with you I love one What?
Nothing,Please...,My home 😂,others,Nothing Please... My home 😂
Why so rude,"coz I hate Southy food, anything wrong 😡",Oh God even I hate them,angry,"Why so rude coz I hate Southy food, anything wrong 😡 Oh God even I hate them"
Then for me??,Must be...,😩,sad,Then for me?? Must be... 😩
yes my crush is not talking to me.. 😢😢,"s a m e, trying not to cry. ☹",😭😭😭,sad,"yes my crush is not talking to me.. 😢😢 s a m e, trying not to cry. ☹ 😭😭😭"
I think we're cute,I think I'm in love with u X‑D,😁😁😁,happy,I think we're cute I think I'm in love with u X‑D 😁😁😁
I know you in toilet because you say one two three 😂😂😂😂😂😂😂,😂😂😂 true that,😂 you so funny 😍,happy,I know you in toilet because you say one two three 😂😂😂😂😂😂😂 😂😂😂 true that 😂 you so funny 😍
Well my name is kirollos but kero is fine as nickname ,Oooh :p,😂😂😂 you're just so funny ,happy,Well my name is kirollos but kero is fine as nickname  Oooh :p 😂😂😂 you're just so funny 
