Id,Label,Text
5.14178E+17,Positive,Watching on the run tour Paris .. Very very entertaining 👌
5.13497E+17,Neutral,Thursday needa hurry up and come👀
5.128E+17,Positive,"RT @DogPoundBrutus: LETS SHOW THEM WHO HAS THE MOST SPRIRT, GREEN AND GOLD IS ALL I WANT TO SEE TOMORROW 👊💛✅"
5.11634E+17,Neutral,This was from agesss ago but this is when i saw the 1d wax works!😍💕😘 http://t.co/cAnHlhSJLg
5.13798E+17,Positive,RT @1Georden: @findmartinhere Thanks for the rt's! 😊
5.14517E+17,Positive,We're the millers👍
5.13298E+17,Negative,you so fucking conceited 😤
5.11893E+17,Neutral,RT @IAmRichTheKid: Don't sell molly nomo💥💰 http://t.co/nQHm0xF54u
5.11674E+17,Negative,Someone help me with chem so I don't fail this test tomorrow 😩😭🆘
5.11934E+17,Positive,"❌❌❌❌❌❌

Hi @Michael5SOS from @5SOS ❤❤

I love you so much💛

You mean the world to me.

Follow me please✌🎸🎶🎧🎤         

❌❌❌❌❌❌
х9593"
5.11636E+17,Negative,Wish Jess didn't move schools😩
5.1459E+17,Positive,@KlemTori @GarrettReaster1 you guys are adorable 😍😭😍😭
5.13741E+17,Neutral,Babe 💕 http://t.co/M0i47zXwS9
5.13091E+17,Positive,Just got my second dozen. Should I try for a third?? 😂
5.12989E+17,Positive,it's a great day 😊
5.11421E+17,Negative,Fuuuck It 💁
5.13436E+17,Positive,saturdays in are the best👸
5.12232E+17,Neutral,Someone text me fr 😂
5.13735E+17,Positive,Let's go Bengals!🐯 #WhoDey #GameTime
5.12446E+17,Positive,Wcw 💖 lover her @orlando_lily http://t.co/bFoak0Wkdq
5.13497E+17,Neutral,RT @JacobWhitesides: Alright I'll post it in 12 minutes won't annoy you all with a countdown just be ready to revine 💁
5.14703E+17,Neutral,"""I won't ever lose hope."" 😢😢😭😭😭💔💔💔"
5.12361E+17,Positive,Getting into bed has got to be the best feeling ever ☺️😋😋
5.11698E+17,Negative,@DaimikaCurry the fact that u spelled my name wrong...😑😑
5.11987E+17,Neutral,That feeling in your stomach of wanting him so badly 💦
5.12461E+17,Negative,That msg tho🙈👀😳
5.14181E+17,Neutral,"""@leai_: You Ain't going find nobody realer and by your side like me 💯💪"""
5.14023E+17,Negative,RT @Zoe_No1: My week 😫 http://t.co/nXVSEIQ0Zf
5.13509E+17,Positive,I 💙 my best friend in law lol
5.13225E+17,Neutral,@TheFabBakerBlog I'll be 5 minutes 😊
5.14192E+17,Negative,Im gonna puke😖
5.13095E+17,Negative,"👭 queen, love u loads, so funny, quite close but i wish you was in my lessons :( really easy to talk to nd youre lovely😘"
5.11993E+17,Positive,Every morning is 💛💙💜💚❤️💗💓💕💖💞💘💌
5.11595E+17,Neutral,"RT @boeiitnietx: “@SarcasmOnIy: This Is How To Respond To A Text From The Wrong Number! 
Next ⏩ http://t.co/ierOiFn4K8 http://t.co/3iRBQ3ID…"
5.13348E+17,Positive,happy mf birthday to one of my bestfriends 💙❤️💚 I love you to the moon and back brooklyn 😘 have a great day http://t.co/BhjcvoGHxj
5.14215E+17,Positive,Qua Really Too Funny😂
5.11698E+17,Negative,RT @foreverclassic_: nobody wants a friendly girl 💯 .
5.14207E+17,Negative,I hate onions 😖 uggh
5.14248E+17,Neutral,RT @youngcortez_: only ride 🚗  for the niggas I walked 🚶 wit ❗️💯
5.14035E+17,Negative,First time I'm not wearing makeup in long feel a little naked without it😄🙈
5.13793E+17,Positive,"Who wants to be in a group chat on kik .....no one ok great!!

Sweg money doe💰💰"
5.13462E+17,Positive,@Jesseka_daisy_ bruh it never works &amp; my fav movie 😍
5.14088E+17,Neutral,@Jaanaasiaa 😂😂😂😂 well I know that's def gonna be the case with me
5.1377E+17,Positive,RT @Emah_Linzi: Super proud of this one💜 http://t.co/TgMoeVyEok
5.12031E+17,Negative,I'm sooo annoyed like I can kill someone right now 😡😡😡😡
5.1327E+17,Positive,RT @Michael5SOS: I love this little gif lol 😁 #thatsalotofcolors http://t.co/Lev8vOoO36
5.14105E+17,Positive,RT @weedftlou: they literally saved our lifes. thanks for giving this chance💘💘 #538secondsofsummer @538 @avondploeg #derpconholland http://…
5.11729E+17,Negative,“@theblack_china: Bitches love to have the next bitch leftovers . 😩😂”💯💯💯
5.1166E+17,Negative,"RT @MochaSkinDee: Now wait a damn min... 2 dudes can kiss on national TV, but you gotta wear yo shirt inside out .... 😕 http://t.co/AawRI3h…"
5.12801E+17,Positive,RT @CrvzyMentvlity: Ill be your Bonnie 😘 Bonnie and Clyde 👌💏🔫💰💣
5.14578E+17,Positive,"@JackDail #jackdm 

MORE THAN READY BABE 

💖"
5.14965E+17,Positive,Crunchy Black had the best verse on Riding Spinners 🏄
5.11437E+17,Positive,@odgjongin I love you too damn much.💕
5.13468E+17,Positive,"💀❤️💀❤️💀❤️

@Michael5SOS 

Michael Clifford from 5sos 

Please follow me?

I love you so much 💗

💀❤️💀❤️💀❤️

x16,938"
5.12758E+17,Negative,RT @cAkeMuLA: Da grind neva stops 💴💰💴
5.13834E+17,Negative,“@Rcro10: @BreaHolland it was pretty bad 🙈”extremely**
5.13971E+17,Positive,@NiggaThats_Jasi i cant even stay mad at you that msg was life. 😩😒😘😍
5.12058E+17,Positive,@Allison_D7 but he's picking me up for lunch 😫 but thank you love !
5.14095E+17,Positive,@zap_r @cowboysRT @CardinalsNation @FIDLERthrodl Thank you Zap I appreciate you 😁 Have a great awesome day DCB4L🏈 ⭐🏈💙🏈⭐
5.13122E+17,Positive,My night is really blown ✋
5.14379E+17,Positive,RT @MaLi3oo: Biking time with my students! 🚴🚴🚴🚴🚴🚴🚴🚴🚴#lovestudents #lovebikingalready #happy #HWN http://t.co/eltSymwCYv
5.12385E+17,Neutral,@Keelo_ thats my cuzzo 😍😊
5.14384E+17,Positive,RT @JacobWhitesides: Ed told me the passion for music over there is unlike any other 😍 I'm so excited
5.15128E+17,Positive,Cuddling time with Kenny since he woke up early af 💙 lol
5.12464E+17,Negative,I don't like being ignored. 😒
5.12064E+17,Negative,I remember when Issa was supposed to come to montreal I don't think that happen 😔
5.13119E+17,Positive,@realselenagxx love THEm your dont need makeup to Look gorgeous love you so much 😘❤️❤️ your like my best friend now
5.11958E+17,Positive,@StuRobson no sleep here either if u have noisy neighbors 😝
5.14638E+17,Neutral,@_Gorgeousx3 @She_perfection this one ? 😂😂😂👀👀👀💀💀💀 http://t.co/dfNPszkpIc
5.11746E+17,Neutral,RT @carleynicole19: Who wants to take pictures tomorrow?😍
5.12791E+17,Neutral,🍁tea time🍁
5.12946E+17,Neutral,Soon #arrow #seasonthree #premier #thecw @cw_network cw_arrow excited #mfu #cantwait #emton 🎬🎯 http://t.co/SQUZEZjsWC
5.12653E+17,Neutral,"@_narryforme_ Hey 😊 Sorry for the bother, rt the tweet in this link? 👇👇👇
https://t.co/S1x7No40cW
I return the favor, just ask 😘"
5.14493E+17,Negative,Evan swore begging was gonna make me delete my tweet 😂 @baseballfan223
5.14399E+17,Neutral,@EyE_MsLee cleary 😒😞
5.13529E+17,Positive,@zarrybabe19 @iHeartRadio @1DAdults @STYLATORARMY @onedirectionGR @ElvisDuranShow AHHH NIAM 😍😍😭
5.15071E+17,Neutral,RT @jolengsmcdizz: yuhuuuu pai @dmatsunaga why sooooo gwapo 💖💘✨  inay you better grab a copy na 😊 #StarStudioMag http://t.co/ifr4cbQ5Az
5.12365E+17,Neutral,RT @___saraSARA: Someone put me in a funny gc 😠
5.14556E+17,Positive,“@AverageGoaIs: All Gold Everything 👌 http://t.co/lN9wT1hwGh”lmfao
5.13178E+17,Negative,@kaykay2331 can't even Kayla fell out of my car 😭😂😂😂😂😂😂
5.13633E+17,Neutral,Off to church😊
5.13875E+17,Neutral,RT @rinnyrue17: look at all those chickens🐓
5.13865E+17,Negative,Caught that mean unfollow😱😂
5.12253E+17,Positive,"@MattBennett PLS MATT 🙏
FOLLOW @VOGUWATS👍
SHE LOVES YOU SO MUCH❤
MAKE HER HAPPY WITH JUST A CLICK✌"
5.13868E+17,Positive,@LOVE_MISS_MISSY I'm too good to get caught🙅👀
5.12175E+17,Positive,HAPPY BIRTHDAY FROM AUSTRALIA @scotthoying 😘😎🎈
5.11624E+17,Negative,Have a really bad headache 😖😭
5.14816E+17,Negative,@Viike_NoSecret blood couldn't makes us closer lmao 😂😂
5.13779E+17,Positive,Yess! 👍👍👍Great Moment! 👊#TeamPoland #PolskaWygraMecz #volleyball #FIVBMensWCH 👍Go Poland! Go… http://t.co/KaSXnUqzKy
5.12928E+17,Neutral,"RT @meowmichxel: 💋🙈💋🙈💋🙈💋🙈

MICHAEL CLIFFORD 

IF THIS GETS 500+ RETWEETS WILL YOU BE MY ☼/4???? 

@Michael5SOS 
@Michael5SOS 

💋🙈💋🙈💋🙈💋🙈"
5.13961E+17,Neutral,"@wallypodj @juliaespino_ YOU LAUGHED AT YOURSELF HARDER THAN WE DID, DUDE 😂"
5.13185E+17,Negative,But my right middle finger swollen ASF😂😂
5.14701E+17,Neutral,“@nickjoe93: Leaving the gym💪” —lemme get a brew
5.11867E+17,Positive,RT @raniaaalul: @lilmelass HAPPY BIRTHDAY BABY💘 love you beautiful 💋
5.15082E+17,Positive,RT @NamAndKang: [CAPS] 140925 #WINNER on Mcountdown 💕 So excited for Don't Flirt! kkkk http://t.co/Mr2qZpBJcE
5.1375E+17,Positive,His hair 😍RT @nasli_minaj: Bae 😍 http://t.co/dak1XRRych
5.13466E+17,Positive,"“@karenmell_: a group of people is never okay ,that's why I'm happier than ever with my trio 💗”"
5.13041E+17,Negative,I'm sorry Bruv 😂😭😂😭😂 “@OzzaT_: I hate that picture so much *cries* http://t.co/oWZfejJPN8”
5.12768E+17,Neutral,@Meli_CoverGirl Please join this dream🙏 all you need to do is RT the tweet in the link 👉 https://t.co/U4hYdrKofl
5.1449E+17,Negative,@antrielmorae That's The Weed My Bad 😂😂
5.13542E+17,Positive,What a great game! I love college football 🏈 #CLEMvsFSU
5.15142E+17,Positive,@katelyns_013 thanks keets! love ya! 😘
5.12666E+17,Negative,RT @TMTEra__Bap: “@Fayee_xoxo: “@Monica__Aaliyah: @Fayee_xoxo OMG &amp; I get over people after a while 😩” lol same” yaw lame
5.14267E+17,Negative,"RT @Tah_Skywalker: why do I always think of the good shit , AFTER the argument 😭😭😭"
5.1197E+17,Neutral,"RT @pinkchampz: ""@arianastruidora: “@rightherez: ""@quintalgrande: rt if you're a true arianator 🌸🐬💜 #EMABiggestFansArianaGrande http://t.co…"
5.13735E+17,Positive,I wanna be more than jus your friend 💕
5.13083E+17,Negative,RT @FlatOUT__Dee: I need a Dateee😩 http://t.co/EGQpfuzHUT
5.13927E+17,Neutral,Latepost🎓 http://t.co/yZzl4CNBEK
5.13304E+17,Neutral,"RT @dvnnyboy_: Man 😪. I pray for this man &amp; his daughter . 🙏
 http://t.co/wEXSVeTahR"
5.13819E+17,Negative,RT @selenagomez: BUT I gave myself pigtails to feel better so there's that ☺️😎 #ifeel6 #rayandhisbans http://t.co/Mp8sNKBEx6
5.11841E+17,Neutral,"""The only way to do great work is to love what you do. If you haven’t found it yet, keep looking. Don’t settle...."" Steve Jobs I liked it 👍"
5.12341E+17,Negative,"😂😂 @PastorManny so what happened to the ""no secular music rule""? http://t.co/u3MaMhC9CA"
5.1199E+17,Negative,“@envymebaddie: @conrad4rmdaave 😩😩😩 fuckin gang members man”STAY AWAY FRM US THN💯
5.11708E+17,Positive,@Pineconekiki you da best 😍
5.13409E+17,Positive,"@CaptainEddieB happy birthday to the most wonderful father that thanks to he existed my idol, the captain eddie⚓🚢🎂"
5.14233E+17,Negative,@_SmokaPhilly chill out braa 😩😭😭
5.12136E+17,Positive,RT @ArianaGrande: p.s. I'm home. bought a new suitcase in Japan to take all my notes/gifts from u luvs home 💜💜💜 thank u for another memorab…
5.14812E+17,Positive,@AndreaNimchuk well that would certainly be better than original flavor 😂 to me anyways.
5.11712E+17,Positive,RT @TweetLikeAGirI: 3 &amp; 24 🙌 love this http://t.co/b6XBHXPlQg
5.14473E+17,Negative,I'm barely gunna miss 3 days of school and got hella hw 💀
5.11629E+17,Positive,I love Kendall so much 😍💗
5.12439E+17,Neutral,RT @unbr3lievable: @luramerman 6 months later 😂😂😂
5.14191E+17,Negative,I hate him 😭😭😭😭😭
5.11669E+17,Positive,RT @vinnycrack: “@BrokeHomieLyn: My body is your party💕💖 http://t.co/JMjBWHIjL3” my mom said i cant go
5.12702E+17,Positive,Just want to be with my boyfriend RN 💏💕
5.12362E+17,Negative,Everyone is this restroom is pooping. #itsagroupeffort 💩
5.13169E+17,Neutral,"@HayesGrier @Nashgrier Hey guys... Can you realize one of my biggest dreams and follow and retweet this??? Plz, I love u so much🙏🙏🙏😍😘😚
X1215"
5.13464E+17,Neutral,RT @ABGBali: @_JuicyJai and retweet 👌
5.12404E+17,Negative,He just drunk my slurpee😐
5.13442E+17,Negative,“@LincDivision: Im going to kill Anthea. 😒 the struggle was real.” You saw me dying. Can you smuggle it to your house and I'll teach you?
5.13652E+17,Positive,"RT @aliehs_143: SC ko ba? 😂😂

We Won't Give Up JOSHUAandJANE
JOSHANE For ASAP Prod
KEYpers Are For Keeps"
5.13774E+17,Negative,@peridallas omgggg seriously he would not stop singing it 😂
5.12815E+17,Positive,@radd_rachel You is lookin good😍 #DatsBae 💁
5.1428E+17,Positive,8❤  ilysm and omg we have gotten so close in the past year in English and it was so fun lol we had the best time😂❤❤ and that kid u r with(;
5.14741E+17,Positive,RT @WORIDSTARHlPHOP: This deserves endless retweets 👏 http://t.co/ZHtD461tGx
5.12884E+17,Negative,RT @cusworthh: So many clothes.. Nothing to wear😩
5.1243E+17,Negative,"""@DayOneNigda: Cant waste my time no more !""👏👏👏💯"
5.1387E+17,Positive,Got your boy in the club &amp; he choosin 😏
5.13351E+17,Positive,@Rhiannon_Shuter yes please do 😂😂😂😂 no one would notice hahhaha
5.14137E+17,Neutral,when dad refers to gail platt as a terrapin 😂😂
5.14233E+17,Neutral,No regrets thou😌💆
5.12748E+17,Positive,Happy 1⃣5⃣th birthday megan 💕😘😍💋🍰🎂🎊🎉 http://t.co/Le55TGz5Gl
5.14112E+17,Positive,“@ChildhoodFacts: best friends are everything 💖 http://t.co/zCuiqiFbe6”
5.12092E+17,Neutral,"Haven't text my crush all day today😒, she'll get a text in the am for sure😘"
5.1167E+17,Positive,RT @fIirtation: Just little things are enough to make her feel appreciated... 👑 http://t.co/CVI1jmPv1h
5.13444E+17,Neutral,Finally got cowboy boots. Am I a Texan yet?👢
5.13496E+17,Positive,"Lol , Harry emotional 😂😂😂"
5.12483E+17,Neutral,RT @James_Yammouni: how many boys have you said that to 😒 @carterreynolds
5.11705E+17,Negative,don't you dare 👿
5.1386E+17,Neutral,RT @reIatabIe: A Five Year Old Said This 😮🙌 http://t.co/0JI4dTbuRd
5.12584E+17,Neutral,RT @ayylmao: People going to desperate measures for iOS8 😂😂 http://t.co/wqdB4SlP8Q
5.1162E+17,Neutral,RT @z_slave123: This winter I will have no life other than work and school 💰
5.14596E+17,Positive,RT @narrymylovers: when a big account retweets your tweet and it actually gets RTs and favs...thank you😂🙈
5.13772E+17,Positive,Love my boyfriend 💑💞
5.14647E+17,Negative,@Von_Von15 I know b. We take shit to far and then a step above that 😂
5.12789E+17,Negative,Df kind of advice is that 😒😒
5.15087E+17,Positive,shopping and lunch with the mother.. need to start purchasing some woollies for the winter season🙊💁
5.13177E+17,Neutral,RT @MAVSSTANDSTRONG: S/o to all the parents telling SV what respect is! .. Kneel down for us we would do it for you 👌💙
5.13757E+17,Positive,RT @AaronCarpenter: I'm gonna be on tv today again btw😊 2pm pacific time on NBC😊 #GRCLive
5.11944E+17,Positive,RT @taaaykees: Prom about to be 😋😼😛
5.13232E+17,Negative,Canes was a tad ratchet tonight 😕
5.14566E+17,Negative,“@aspad11: I am 21 and I have hips and back like a 90 year old........” Same...😔
5.15102E+17,Negative,RT @WhennBoys: Maybe one day 😩 http://t.co/zmqJPEari2
5.12446E+17,Positive,"Have you ever been inside a dream, inside a dream? Baby this is inception. 😈😂"
5.1336E+17,Negative,RT @perfectcoupIes: Life goals omg 🐘 http://t.co/Xn6SR1iA2H
5.13774E+17,Positive,@qwa2xs_ OMG WTF.!  😂😂😂
5.14933E+17,Negative,@AlanaHof I know 😿 I was gonna come in and get my check today but I lost track of time 😭
5.14927E+17,Negative,"RT @Francescaxxx23: @ShalondaLovee YES PLEASE. I miss you so much, boo thang. It's not even funny 😭😭😓💔"
5.14272E+17,Positive,RT @BiteMe_Britt: DYNAMIC DUO STIRRING UP SOME TROUBLE THIS WEEKEND 🙏🙌👌👏💯
5.14905E+17,Positive,RT @girlideas: my mom has been smoking for 22 years so my sister wrote up an agreement.. if i can get 10000 retweets she will stop 🙅 http:/…
5.1201E+17,Positive,RT @IdiotOlympics: This Dad is a savage 😂😭😂 http://t.co/RZ1zGtVHrH
5.11589E+17,Negative,@cmtxo @Cnm_rinaa I know what it is...them hoes asking about me aren't they 😈
5.14589E+17,Negative,I suck 😒😒
5.12264E+17,Positive,"trust me, you did 💯 after your lil bipolar moments I didn't know what to do so I left it alone 😤 I tried tho."
5.14107E+17,Neutral,👀👀👀👀 RT @MRob610: @UncoolCash smh who's the hoe that's fuckin wit a hoe nigga??
5.14175E+17,Positive,RT @ABM_LyfestyleLo: waddup jass 😉
5.11805E+17,Positive,RT @EllisRoach: Just found this 😂 one of the bouncers at tiesto taking a naughty selfie http://t.co/xM8VJ9JWEJ
5.12703E+17,Positive,"@NiallOfficial hi love, please read this letter:

→{https://t.co/szIx62L0TM}

you're my hero, my angel, my world, all in my life💞💞

♡90,738"
5.13128E+17,Neutral,"“@___xprettyredd: Khole Kardashian Is The Prettiest One , Idc .” You been saying this since forever 👏😂"
5.12415E+17,Negative,RT @Kaylllllaaaaa_: feel like I'm being ignored 😓😓
5.1183E+17,Positive,RT @gracegirly1: Not feeling too hot today😷
5.12706E+17,Positive,RT @VictoriaWildxxx: Kisses from my new 5cc #lips #Juvederm #filler 💉💄💋 http://t.co/uRLOcCzFqm
5.12039E+17,Negative,"""@__RicchyRich: “@Care___Clutch: “@SbJackBoy: ""@Care___Clutch: What do you call a driver that can't drive?""?”a screwdriver 💀💀💀” bish 💀😂"
5.13914E+17,Positive,"🍉🍌🍉🍌🍉🍌🍉🍌🍉

michael clifford from 5sos

✖️Do you have a map? because I keep getting lost in your eyes✖️

🔱I ❤️ chu🔱

🍉🍌🍉🍌🍉🍌🍉🍌🍉

xx 99"
5.12293E+17,Neutral,"✌⚡🍕✌⚡🍕✌⚡🍕
Justin Bieber
@justinbieber can u follow me please?
you're everything in my life
and love you much♥ x1,499"
5.11815E+17,Neutral,God who began the good work in you will complete it in Jesus' name 🙏
5.124E+17,Positive,RT @krixshaaah: @xLaLa_Martinez haha I don't even have a fav out of all of them bc they're just too 🔥🔥🔥!
5.11844E+17,Negative,I bumped into this guy in the toilet and I just had to take his photo 😂 @ Bengawan http://t.co/32bJFeeduI
5.13219E+17,Positive,Mengasoh 👯💩😜🍷🍴 (with eliza and Fandy at @kfcindonesia) — https://t.co/FJtm3IRI0p
5.11601E+17,Negative,I miss my old boss so much 😩💔
5.12287E+17,Positive,@Nashgrier Hi ! I know you love to make people smile and to make someone smile then please FOLLOW me. Love you.😋 x363
5.14962E+17,Positive,I'm friends with a monster 👹
5.14975E+17,Negative,RT @Sneakyq_: No But Honestly❗️❗️ http://t.co/feH6YboN0p
5.13739E+17,Negative,“@royalforeign_: after all the pain...shit will never be the same😥”
5.11687E+17,Neutral,😂😂😂 a half a house...df
5.12933E+17,Negative,@_cullenmdenny totally happens to me every time 💁
5.14632E+17,Positive,Theres a season 9 😍
5.11956E+17,Neutral,RT @Ooh_Jelaaaaani: Why Kevin Hart destroy this man life tho😂😂😂 http://t.co/NeW5u93iBG
5.13922E+17,Positive,RT @IzabelZambrano: Seriously the best don't drink &amp; drive commercial 😭😭😭 https://t.co/foQUSeRQbn
5.14609E+17,Negative,RT @TweetLikeAGirI: NICHOLAS SPARKS ALWAYS PLAYING WITH MY FEELINGS 😍😍 http://t.co/9sjSe9KNxU
5.12215E+17,Neutral,"@TheVampsTristan pls follow me, it would mean the world ☺️🌎💜😢"
5.13742E+17,Positive,RT @SNOW667: Album is coming December just wait on it 👀
5.11872E+17,Positive,@delaney_gipp9 thanks D😘 love yaaa😊❤️
5.13182E+17,Negative,@alyssawingo mom said no 😢
5.14244E+17,Negative,I wish I never met oomf shit was a lie since day one!..lying ass mf!😤👊👊
5.14766E+17,Neutral,“@cuhmel: “@toriibaileyy: “@cuhmel: @toriibaileyy what is that”sunflower seeds 😐” we have some classy women in this school”right!!!!
5.11944E+17,Neutral,RT @iadorewomen_: ON POINT 😩👏 http://t.co/A4LghJg1XP
5.12636E+17,Negative,@hansen_mary you want me to drive all the way to Adrian for a day to drive back just to take you back the same night?😰
5.12502E+17,Positive,@_SosaSerg take me 😏
5.13822E+17,Neutral,"ASHTON IRWIN FROM 5SOS

be my 1/4?
itd make me the happiest girl

ilysm sunshine! 💕

follow me?

PLEASE

@Ashton5SOS 
#EMABiggestFans5SOS 🍆"
5.13154E+17,Positive,RT @tnoles_: Life iz great 😅
5.12779E+17,Negative,Cramps 😔
5.14781E+17,Negative,You keep doing dum shit and wonder why niggas not feeling ya flavor     🙅😷
5.15094E+17,Negative,@pardonmycharmm 😟too late
5.14919E+17,Neutral,"Ionn speak nothing but that real shit , and that's some real shit 💯"
5.13786E+17,Negative,RT @Morganc88: “@MyHoesBritish: Cowboys Pool💩” what....😑
5.12317E+17,Negative,Blacklist👌
5.12388E+17,Neutral,“@priya_patel28: “@FriendsReunion1: Wish we were all there #FriendsFamily http://t.co/ogt0bFxruo” I NEED TO GO ASAP LIKE FR FR”😍😭😍😭😍
5.14421E+17,Positive,@_baaabyE damn.. no babies 🙅🙅 and you get my id ?
5.13583E+17,Positive,RT @ArianaGrande: and I can't wait to come back to Vegas on #TheHoneymoonTour 💜💜💜
5.12787E+17,Positive,RT @Adrian_Vargas28: WE DEM BOYS!! 🏈🏈🎊 #W #EasyMoney #Brothers #3-0-1
5.11957E+17,Neutral,RT @LibraSingerX: MY MUSIC 🎶 http://t.co/wV11lIB3TC http://t.co/LBjBRvJlZb http://t.co/rQlO8b9EDH http://t.co/rytc7kh7Nl http://t.co/NNSjdh…
5.12433E+17,Positive,👀👃- your cool &amp; we talk sometimes and you &amp; ur bf are cute.
5.13727E+17,Negative,"""@blvckxkkk: the sad part is that Elsik not finna be like that next year 💀😭""OML"
5.12495E+17,Neutral,@5sosdailysnaps please🙏
5.13564E+17,Positive,RT @PapetheGreat: AYYY Happy Birthday to my Btotha  YUNG LAND @grantlandis 🎉🎉🎉
5.12048E+17,Neutral,“@__kaleyaa: @Miiahhhhh 😂😂nigga since when was u in 9th”😭😭😭
5.12083E+17,Neutral,“@HotBoyDeeJay: “@ThatNiggaKenJ_: Who tryna match some ?👀” save some for school lol 😂”😂😂💯💯👌
5.13021E+17,Positive,@ksaavedra9406 thanks so much:) 💚
5.14413E+17,Negative,“@_xLogic: Ew TF RT @Str8_Cali: Let go on ahead and bless y'all TL's today 😫😫 http://t.co/8WmgIYZ0XM”you gay
5.12732E+17,Positive,"@Damousee we love him so so so much :""&gt; 😍😍"
5.13431E+17,Positive,hair gone be laid. 🙌💁😍
5.12093E+17,Negative,RT @_DonyaaDiamond: I officially can not deal with Darielle😂😂💀
5.14388E+17,Positive,RT @wesleystromberg: . @acmswish I love you!! 😘
5.13472E+17,Neutral,@Gumby_football @WORIDSTARHlPHOP @mrprincemj @15_ontop thats so 🍋
5.1152E+17,Negative,RT @_AmB1TIOUS_GIRL: “@itsDC_2x: Eating it from the back is some real nigga shit. 😏😇” Real niggas do nasty thangs😎😎
5.12225E+17,Positive,Fries ang burger 🍟🍔🍴 #Mcdo #Lovekoto #Pasalubong http://t.co/GP3LlamEoR
5.12373E+17,Positive,@kern766 thanks bro 😘
5.14139E+17,Positive,@liianamiiranda 💰its funny how were all cheering at regular intervals as your life runs out. Either way Alles Gute zum Geburtstag🎉😏🎂💰
5.11847E+17,Negative,"rest in peace tevan 👼
#Laylow , 
We got you ✊"
5.11445E+17,Negative,I supposed to be healthy eating today and I've just eaten 6 Oreos ffs 😢
5.114E+17,Positive,RT @5SOS: I met Michael 😁 http://t.co/yQEWwaxwFB
5.12691E+17,Positive,"@AndrewCockburn2 happppppy birthday, hope you've had a sweeet day🎉🎈"
5.14376E+17,Neutral,'Post bad bitches' 'Post bad boys' what the actual fuck 😷😂
